X1,path,count,well,field,day,time,cell_type,date,treatment
0,LCC9_mCh_iin co-culture_C1_1_2019y12m10d_16h00m.tif,317,C1,1,10,16,LCC9,2019-12-10T16:00:00Z,vehicle
1,LCC9_mCh_iin co-culture_C1_1_2019y12m10d_18h00m.tif,291,C1,1,10,18,LCC9,2019-12-10T18:00:00Z,vehicle
2,LCC9_mCh_iin co-culture_C1_1_2019y12m11d_00h00m.tif,349,C1,1,11,0,LCC9,2019-12-11T00:00:00Z,vehicle
3,LCC9_mCh_iin co-culture_C1_1_2019y12m10d_20h00m.tif,305,C1,1,10,20,LCC9,2019-12-10T20:00:00Z,vehicle
4,LCC9_mCh_iin co-culture_C1_1_2019y12m10d_22h00m.tif,319,C1,1,10,22,LCC9,2019-12-10T22:00:00Z,vehicle
5,LCC9_mCh_iin co-culture_C1_1_2019y12m11d_04h00m.tif,386,C1,1,11,4,LCC9,2019-12-11T04:00:00Z,vehicle
6,LCC9_mCh_iin co-culture_C1_1_2019y12m11d_02h00m.tif,366,C1,1,11,2,LCC9,2019-12-11T02:00:00Z,vehicle
7,LCC9_mCh_iin co-culture_C1_1_2019y12m11d_06h00m.tif,402,C1,1,11,6,LCC9,2019-12-11T06:00:00Z,vehicle
8,LCC9_mCh_iin co-culture_C1_1_2019y12m11d_08h00m.tif,416,C1,1,11,8,LCC9,2019-12-11T08:00:00Z,vehicle
9,LCC9_mCh_iin co-culture_C1_1_2019y12m11d_10h00m.tif,445,C1,1,11,10,LCC9,2019-12-11T10:00:00Z,vehicle
10,LCC9_mCh_iin co-culture_C1_1_2019y12m11d_12h00m.tif,442,C1,1,11,12,LCC9,2019-12-11T12:00:00Z,vehicle
11,LCC9_mCh_iin co-culture_C1_1_2019y12m11d_14h00m.tif,456,C1,1,11,14,LCC9,2019-12-11T14:00:00Z,vehicle
12,LCC9_mCh_iin co-culture_C1_1_2019y12m11d_16h00m.tif,517,C1,1,11,16,LCC9,2019-12-11T16:00:00Z,vehicle
13,LCC9_mCh_iin co-culture_C1_1_2019y12m11d_18h00m.tif,548,C1,1,11,18,LCC9,2019-12-11T18:00:00Z,vehicle
14,LCC9_mCh_iin co-culture_C1_1_2019y12m11d_20h00m.tif,535,C1,1,11,20,LCC9,2019-12-11T20:00:00Z,vehicle
15,LCC9_mCh_iin co-culture_C1_1_2019y12m11d_22h00m.tif,551,C1,1,11,22,LCC9,2019-12-11T22:00:00Z,vehicle
16,LCC9_mCh_iin co-culture_C1_1_2019y12m12d_00h00m.tif,569,C1,1,12,0,LCC9,2019-12-12T00:00:00Z,vehicle
17,LCC9_mCh_iin co-culture_C1_1_2019y12m16d_14h00m.tif,1274,C1,1,16,14,LCC9,2019-12-16T14:00:00Z,vehicle
