,image,count,estimate,difference,10_percent
0,VID540_A1_4_2018y01m23d_12h00m.tif,1069,1049,20,False
1,VID540_A1_6_2018y01m23d_12h00m.tif,1210,1022,188,True
2,VID540_A1_7_2018y01m23d_12h00m.tif,995,1004,9,False
3,VID540_A1_8_2018y01m23d_12h00m.tif,1327,1223,104,False
4,VID540_A1_9_2018y01m23d_12h00m.tif,1413,1039,374,True
5,VID540_A2_1_2018y01m23d_12h00m.tif,854,918,64,False
6,VID540_A2_2_2018y01m23d_12h00m.tif,1070,916,154,True
7,VID540_A2_3_2018y01m23d_12h00m.tif,1224,1108,116,False
8,VID540_A2_4_2018y01m23d_12h00m.tif,1006,938,68,False
9,VID540_A2_6_2018y01m23d_12h00m.tif,1006,962,44,False
10,VID540_A2_7_2018y01m23d_12h00m.tif,1122,999,123,True
11,VID540_A2_8_2018y01m23d_12h00m.tif,1594,1145,449,True
12,VID540_A2_9_2018y01m23d_12h00m.tif,1101,973,128,True
13,VID540_A3_1_2018y01m23d_12h00m.tif,419,397,22,False
14,VID540_A3_2_2018y01m23d_12h00m.tif,307,263,44,True
15,VID540_A3_3_2018y01m23d_12h00m.tif,520,469,51,False
16,VID540_A3_4_2018y01m23d_12h00m.tif,398,433,35,False
17,VID540_A3_6_2018y01m23d_12h00m.tif,314,339,25,False
18,VID540_A3_7_2018y01m23d_12h00m.tif,383,385,2,False
19,VID540_A3_8_2018y01m23d_12h00m.tif,351,312,39,True
20,VID540_A3_9_2018y01m23d_12h00m.tif,392,395,3,False
21,VID540_A4_1_2018y01m23d_12h00m.tif,374,366,8,False
22,VID540_A4_2_2018y01m23d_12h00m.tif,275,294,19,False
23,VID540_A4_3_2018y01m23d_12h00m.tif,347,364,17,False
24,VID540_A4_4_2018y01m23d_12h00m.tif,472,488,16,False
25,VID540_A4_6_2018y01m23d_12h00m.tif,364,401,37,True
26,VID540_A4_7_2018y01m23d_12h00m.tif,481,492,11,False
27,VID540_A4_8_2018y01m23d_12h00m.tif,445,444,1,False
28,VID540_A4_9_2018y01m23d_12h00m.tif,428,474,46,True
