rank,y_rep_mean,j,y_rep,.lower,.upper,.width,.point,.interval,agg_count,well
1,1102.9786461483773,1,1155.7943379606147,736.7276731709643,1749.2634562652393,0.95,mhd,mhd,1414,1
1,1102.9786461483773,1,1155.7943379606147,736.7276731709643,1749.2634562652393,0.95,mhd,mhd,1496,2
2,1132.6746133238642,1,1108.0582388102189,738.4631380989591,1795.7265514515634,0.95,mhd,mhd,1418,1
2,1132.6746133238642,1,1108.0582388102189,738.4631380989591,1795.7265514515634,0.95,mhd,mhd,1494,2
3,1165.1667190190544,1,1204.9173971461425,783.2349548308493,1711.8741630291897,0.95,mhd,mhd,1383,1
3,1165.1667190190544,1,1204.9173971461425,783.2349548308493,1711.8741630291897,0.95,mhd,mhd,1453,2
4,1198.1965505352418,1,1397.1388894289137,792.0731434513311,1752.6784557170881,0.95,mhd,mhd,1359,1
4,1198.1965505352418,1,1397.1388894289137,792.0731434513311,1752.6784557170881,0.95,mhd,mhd,1371,2
5,1230.4704738503453,1,1237.6060338655811,793.1573650535786,1932.9943322175557,0.95,mhd,mhd,1326,1
5,1230.4704738503453,1,1237.6060338655811,793.1573650535786,1932.9943322175557,0.95,mhd,mhd,1357,2
6,1264.2694100772876,1,1316.1405901621604,713.3790419437286,1883.4948373754562,0.95,mhd,mhd,1439,1
6,1264.2694100772876,1,1316.1405901621604,713.3790419437286,1883.4948373754562,0.95,mhd,mhd,1503,2
7,1298.9471372217558,1,1241.3118097402325,863.9713667014928,2052.4352046464737,0.95,mhd,mhd,1400,1
7,1298.9471372217558,1,1241.3118097402325,863.9713667014928,2052.4352046464737,0.95,mhd,mhd,1548,2
8,1335.3790891871708,1,1391.9800037565512,877.8873542559318,2005.9005009498662,0.95,mhd,mhd,1385,1
8,1335.3790891871708,1,1391.9800037565512,877.8873542559318,2005.9005009498662,0.95,mhd,mhd,1409,2
9,1371.8323390771961,1,1354.4741581366957,920.2845808072486,2212.21450035701,0.95,mhd,mhd,1410,1
9,1371.8323390771961,1,1354.4741581366957,920.2845808072486,2212.21450035701,0.95,mhd,mhd,1401,2
10,1410.104998835068,1,1404.7673518427086,889.1764756981066,2095.9936782683026,0.95,mhd,mhd,1403,1
10,1410.104998835068,1,1404.7673518427086,889.1764756981066,2095.9936782683026,0.95,mhd,mhd,1416,2
