rank,y_rep_mean,j,y_rep,.lower,.upper,.width,.point,.interval,agg_count,well
1,1727.5952671635068,1,1705.396952732084,1465.0735642404532,2019.1516894899153,0.95,mhd,mhd,1607,1
1,1727.5952671635068,1,1705.396952732084,1465.0735642404532,2019.1516894899153,0.95,mhd,mhd,1821,2
2,1795.6273673391327,1,1825.8937853545874,1505.6054985903752,2140.3327117013605,0.95,mhd,mhd,1670,1
2,1795.6273673391327,1,1825.8937853545874,1505.6054985903752,2140.3327117013605,0.95,mhd,mhd,1808,2
3,1866.878148755968,1,1913.95071809666,1551.3567384035957,2183.612365071747,0.95,mhd,mhd,1756,1
3,1866.878148755968,1,1913.95071809666,1551.3567384035957,2183.612365071747,0.95,mhd,mhd,1891,2
4,1938.425099535489,1,1937.9540443874707,1603.640067424057,2270.9587684972757,0.95,mhd,mhd,1802,1
4,1938.425099535489,1,1937.9540443874707,1603.640067424057,2270.9587684972757,0.95,mhd,mhd,1908,2
5,2013.7424247725196,1,1912.4947447675909,1684.5217570273335,2429.8114901323256,0.95,mhd,mhd,1915,1
5,2013.7424247725196,1,1912.4947447675909,1684.5217570273335,2429.8114901323256,0.95,mhd,mhd,2048,2
6,2091.7862372389172,1,2170.5806865807253,1779.2193436846126,2457.541502836941,0.95,mhd,mhd,2002,1
6,2091.7862372389172,1,2170.5806865807253,1779.2193436846126,2457.541502836941,0.95,mhd,mhd,2122,2
7,2172.2031538087185,1,2198.539085995087,1841.6685022191973,2605.0109605622315,0.95,mhd,mhd,2055,1
7,2172.2031538087185,1,2198.539085995087,1841.6685022191973,2605.0109605622315,0.95,mhd,mhd,2245,2
8,2256.4220691365313,1,2261.676394825513,1784.8224931221828,2728.031333840996,0.95,mhd,mhd,2131,1
8,2256.4220691365313,1,2261.676394825513,1784.8224931221828,2728.031333840996,0.95,mhd,mhd,2352,2
9,2340.9169140479194,1,2293.6075485934457,1986.6664488652657,2782.8573503148427,0.95,mhd,mhd,2175,1
9,2340.9169140479194,1,2293.6075485934457,1986.6664488652657,2782.8573503148427,0.95,mhd,mhd,2424,2
10,2428.541327903665,1,2460.727723150575,1943.1100653702363,2933.8727878284226,0.95,mhd,mhd,2276,1
10,2428.541327903665,1,2460.727723150575,1943.1100653702363,2933.8727878284226,0.95,mhd,mhd,2524,2
11,2518.8894911731477,1,2535.672371692787,2104.6873682971072,2995.0733159837837,0.95,mhd,mhd,2401,1
11,2518.8894911731477,1,2535.672371692787,2104.6873682971072,2995.0733159837837,0.95,mhd,mhd,2685,2
12,2611.9319186892517,1,2587.7374762184186,2217.0882743052116,3046.8553646827486,0.95,mhd,mhd,2581,1
12,2611.9319186892517,1,2587.7374762184186,2217.0882743052116,3046.8553646827486,0.95,mhd,mhd,2799,2
13,2708.265716073154,1,2621.5890720860134,2320.61126818231,3199.1923111085416,0.95,mhd,mhd,2675,1
13,2708.265716073154,1,2621.5890720860134,2320.61126818231,3199.1923111085416,0.95,mhd,mhd,2866,2
14,2804.808697599829,1,2919.0889227124726,2392.335212025452,3285.467682691369,0.95,mhd,mhd,2859,1
14,2804.808697599829,1,2919.0889227124726,2392.335212025452,3285.467682691369,0.95,mhd,mhd,2979,2
15,2909.0755236495897,1,3025.325772451841,2456.2516858461036,3593.6388630390725,0.95,mhd,mhd,2939,1
15,2909.0755236495897,1,3025.325772451841,2456.2516858461036,3593.6388630390725,0.95,mhd,mhd,3108,2
16,3013.310956013503,1,2858.179468959521,2579.372110166058,3518.9307980741837,0.95,mhd,mhd,3004,1
16,3013.310956013503,1,2858.179468959521,2579.372110166058,3518.9307980741837,0.95,mhd,mhd,3175,2
17,3119.018014816386,1,3232.0410960305203,2657.631716202077,3655.7682870248054,0.95,mhd,mhd,3114,1
17,3119.018014816386,1,3232.0410960305203,2657.631716202077,3655.7682870248054,0.95,mhd,mhd,3296,2
18,3228.7136666241936,1,3096.9804321956103,2655.210382998069,3800.3301822841077,0.95,mhd,mhd,3177,1
18,3228.7136666241936,1,3096.9804321956103,2655.210382998069,3800.3301822841077,0.95,mhd,mhd,3375,2
19,3340.67867597114,1,3298.782633496789,2854.7857648561862,3922.4697160008996,0.95,mhd,mhd,3322,1
19,3340.67867597114,1,3298.782633496789,2854.7857648561862,3922.4697160008996,0.95,mhd,mhd,3600,2
20,3453.8476772603262,1,3498.3975497937063,2934.3356882288103,4116.661564909826,0.95,mhd,mhd,3515,1
20,3453.8476772603262,1,3498.3975497937063,2934.3356882288103,4116.661564909826,0.95,mhd,mhd,3667,2
21,3572.1544408276723,1,3652.273196119026,3015.2066053800445,4280.940262753762,0.95,mhd,mhd,3705,1
21,3572.1544408276723,1,3652.273196119026,3015.2066053800445,4280.940262753762,0.95,mhd,mhd,3860,2
22,3692.4972303799573,1,3646.7802938930186,3188.202362866012,4370.253680533434,0.95,mhd,mhd,NA,1
22,3692.4972303799573,1,3646.7802938930186,3188.202362866012,4370.253680533434,0.95,mhd,mhd,NA,2
23,3815.149620353505,1,3795.9997665746982,3171.2569877645724,4490.8118798868745,0.95,mhd,mhd,NA,1
23,3815.149620353505,1,3795.9997665746982,3171.2569877645724,4490.8118798868745,0.95,mhd,mhd,NA,2
24,3940.82135418564,1,3998.558419439185,3327.591111199824,4610.469030965246,0.95,mhd,mhd,NA,1
24,3940.82135418564,1,3998.558419439185,3327.591111199824,4610.469030965246,0.95,mhd,mhd,NA,2
25,4069.2345073519527,1,3992.015782612736,3468.1691163767123,4762.504619621733,0.95,mhd,mhd,3946,1
25,4069.2345073519527,1,3992.015782612736,3468.1691163767123,4762.504619621733,0.95,mhd,mhd,4006,2
26,4200.099908603257,1,4360.972802167697,3543.4701181262817,4983.2727279275105,0.95,mhd,mhd,4053,1
26,4200.099908603257,1,4360.972802167697,3543.4701181262817,4983.2727279275105,0.95,mhd,mhd,4044,2
27,4331.159736457629,1,4474.098396989611,3693.5380461643117,5058.522875497397,0.95,mhd,mhd,4154,1
27,4331.159736457629,1,4474.098396989611,3693.5380461643117,5058.522875497397,0.95,mhd,mhd,4182,2
28,4465.2086816531055,1,4374.468897843149,3632.4052017373247,5287.18679465886,0.95,mhd,mhd,4274,1
28,4465.2086816531055,1,4374.468897843149,3632.4052017373247,5287.18679465886,0.95,mhd,mhd,4350,2
29,4604.409549347039,1,4615.336349103877,3899.8644123220315,5497.982794791983,0.95,mhd,mhd,4614,1
29,4604.409549347039,1,4615.336349103877,3899.8644123220315,5497.982794791983,0.95,mhd,mhd,4492,2
30,4743.871567537818,1,4646.080815594354,4017.401138727388,5602.112345746201,0.95,mhd,mhd,4864,1
30,4743.871567537818,1,4646.080815594354,4017.401138727388,5602.112345746201,0.95,mhd,mhd,4625,2
31,4886.64435796438,1,4883.397619572312,4082.8701970150328,5748.711406785136,0.95,mhd,mhd,4944,1
31,4886.64435796438,1,4883.397619572312,4082.8701970150328,5748.711406785136,0.95,mhd,mhd,4780,2
32,5029.3527463255,1,4751.6853827488385,4247.941135781643,6006.599805075043,0.95,mhd,mhd,5071,1
32,5029.3527463255,1,4751.6853827488385,4247.941135781643,6006.599805075043,0.95,mhd,mhd,4904,2
33,5174.344820688086,1,4942.529701642591,4254.131987781176,6083.445546375697,0.95,mhd,mhd,5290,1
33,5174.344820688086,1,4942.529701642591,4254.131987781176,6083.445546375697,0.95,mhd,mhd,5104,2
34,5326.942186536679,1,5252.814559441291,4573.027136478134,6218.739301015082,0.95,mhd,mhd,5420,1
34,5326.942186536679,1,5252.814559441291,4573.027136478134,6218.739301015082,0.95,mhd,mhd,5242,2
35,5475.792034002139,1,5345.377886054724,4530.48518335671,6606.2923205464185,0.95,mhd,mhd,5758,1
35,5475.792034002139,1,5345.377886054724,4530.48518335671,6606.2923205464185,0.95,mhd,mhd,5412,2
36,5624.023062624529,1,5741.852133012733,4717.390115626663,6753.4284294940635,0.95,mhd,mhd,5730,1
36,5624.023062624529,1,5741.852133012733,4717.390115626663,6753.4284294940635,0.95,mhd,mhd,5482,2
37,5778.059189526838,1,5750.598233978769,4922.170291116302,6730.899239285492,0.95,mhd,mhd,6014,1
37,5778.059189526838,1,5750.598233978769,4922.170291116302,6730.899239285492,0.95,mhd,mhd,5776,2
38,5929.860212534721,1,5929.775922586735,5016.963036522653,7118.647005686305,0.95,mhd,mhd,6096,1
38,5929.860212534721,1,5929.775922586735,5016.963036522653,7118.647005686305,0.95,mhd,mhd,5822,2
39,6084.330924556594,1,6026.534257393555,5102.727857182461,7485.663729260103,0.95,mhd,mhd,6227,1
39,6084.330924556594,1,6026.534257393555,5102.727857182461,7485.663729260103,0.95,mhd,mhd,5917,2
40,6241.019356384838,1,6205.7593135620045,5200.128756129998,7459.163713975112,0.95,mhd,mhd,6265,1
40,6241.019356384838,1,6205.7593135620045,5200.128756129998,7459.163713975112,0.95,mhd,mhd,6025,2
41,6397.435378935693,1,6478.633918545938,5380.36004905638,7511.397383897471,0.95,mhd,mhd,6521,1
41,6397.435378935693,1,6478.633918545938,5380.36004905638,7511.397383897471,0.95,mhd,mhd,6143,2
42,6559.52084571842,1,6708.723492244195,5401.461627795642,8120.543779864454,0.95,mhd,mhd,NA,1
42,6559.52084571842,1,6708.723492244195,5401.461627795642,8120.543779864454,0.95,mhd,mhd,NA,2
43,6721.123065129009,1,7003.259147651812,5675.6422642493435,7929.262183061974,0.95,mhd,mhd,NA,1
43,6721.123065129009,1,7003.259147651812,5675.6422642493435,7929.262183061974,0.95,mhd,mhd,NA,2
44,6875.3689445716,1,7014.724392073696,5832.097958520541,8045.7358538433155,0.95,mhd,mhd,NA,1
44,6875.3689445716,1,7014.724392073696,5832.097958520541,8045.7358538433155,0.95,mhd,mhd,NA,2
45,7031.255656078966,1,6769.292786586557,5791.286547989117,8474.720000262047,0.95,mhd,mhd,NA,1
45,7031.255656078966,1,6769.292786586557,5791.286547989117,8474.720000262047,0.95,mhd,mhd,NA,2
46,7195.248660174821,1,6903.542483878307,6082.10497001203,8378.301696983655,0.95,mhd,mhd,NA,1
46,7195.248660174821,1,6903.542483878307,6082.10497001203,8378.301696983655,0.95,mhd,mhd,NA,2
47,7355.393727968111,1,8101.470841245183,6284.081768728443,8960.110831183418,0.95,mhd,mhd,NA,1
47,7355.393727968111,1,8101.470841245183,6284.081768728443,8960.110831183418,0.95,mhd,mhd,NA,2
48,7514.655033806739,1,7176.488843567712,6215.643980133698,8858.531809121077,0.95,mhd,mhd,NA,1
48,7514.655033806739,1,7176.488843567712,6215.643980133698,8858.531809121077,0.95,mhd,mhd,NA,2
49,7673.743902408659,1,7783.450468419405,6552.974843142429,9015.347939258492,0.95,mhd,mhd,NA,1
49,7673.743902408659,1,7783.450468419405,6552.974843142429,9015.347939258492,0.95,mhd,mhd,NA,2
50,7826.871433031154,1,8300.185574867006,6584.299877730498,9169.805889459234,0.95,mhd,mhd,NA,1
50,7826.871433031154,1,8300.185574867006,6584.299877730498,9169.805889459234,0.95,mhd,mhd,NA,2
51,7990.786871323707,1,7977.642977941747,6779.653293490409,9490.695395240313,0.95,mhd,mhd,NA,1
51,7990.786871323707,1,7977.642977941747,6779.653293490409,9490.695395240313,0.95,mhd,mhd,NA,2
52,8152.734720653716,1,8081.232735022187,7007.379810455719,9576.201823174159,0.95,mhd,mhd,NA,1
52,8152.734720653716,1,8081.232735022187,7007.379810455719,9576.201823174159,0.95,mhd,mhd,NA,2
53,8305.34997736535,1,8419.051665564899,7000.055889184596,9775.35793845263,0.95,mhd,mhd,NA,1
53,8305.34997736535,1,8419.051665564899,7000.055889184596,9775.35793845263,0.95,mhd,mhd,NA,2
54,8461.962203549178,1,8456.449711379551,7214.785898895901,9788.399678188543,0.95,mhd,mhd,NA,1
54,8461.962203549178,1,8456.449711379551,7214.785898895901,9788.399678188543,0.95,mhd,mhd,NA,2
55,8616.875947850396,1,8203.859132881033,7265.376253863905,10457.131432977494,0.95,mhd,mhd,NA,1
55,8616.875947850396,1,8203.859132881033,7265.376253863905,10457.131432977494,0.95,mhd,mhd,NA,2
56,8766.33757639746,1,8402.855388169251,7326.348649589326,10418.797379084997,0.95,mhd,mhd,NA,1
56,8766.33757639746,1,8402.855388169251,7326.348649589326,10418.797379084997,0.95,mhd,mhd,NA,2
57,8925.704475865947,1,8804.578543369951,7208.203404084386,11123.38250489483,0.95,mhd,mhd,NA,1
57,8925.704475865947,1,8804.578543369951,7208.203404084386,11123.38250489483,0.95,mhd,mhd,NA,2
58,9071.49094422339,1,8985.311014301278,7448.007531545975,10617.507739862544,0.95,mhd,mhd,NA,1
58,9071.49094422339,1,8985.311014301278,7448.007531545975,10617.507739862544,0.95,mhd,mhd,NA,2
59,9220.26301825081,1,8863.393652812845,7853.322543383666,10978.120002282594,0.95,mhd,mhd,NA,1
59,9220.26301825081,1,8863.393652812845,7853.322543383666,10978.120002282594,0.95,mhd,mhd,NA,2
60,9364.6589883424,1,8934.375864381349,7901.808397683242,11041.42753086277,0.95,mhd,mhd,NA,1
60,9364.6589883424,1,8934.375864381349,7901.808397683242,11041.42753086277,0.95,mhd,mhd,NA,2
61,9512.231239597339,1,9503.650775242044,7888.539518005794,11119.870051103682,0.95,mhd,mhd,NA,1
61,9512.231239597339,1,9503.650775242044,7888.539518005794,11119.870051103682,0.95,mhd,mhd,NA,2
62,9649.673224596083,1,9689.47340525334,8068.494331455096,11619.12018853157,0.95,mhd,mhd,NA,1
62,9649.673224596083,1,9689.47340525334,8068.494331455096,11619.12018853157,0.95,mhd,mhd,NA,2
63,9795.43325375964,1,9627.905713246311,8297.43185748329,11616.970266239668,0.95,mhd,mhd,NA,1
63,9795.43325375964,1,9627.905713246311,8297.43185748329,11616.970266239668,0.95,mhd,mhd,NA,2
