rank,j,y_rep_mean,y_rep,.lower,.upper,.width,.point,.interval,cell_type,well,agg_count
1,1,1917.4571451104346,1873.5918598932967,1151.5389052691091,3245.219791695955,0.95,mhd,mhd,LCC1,1,1503
1,1,1917.4571451104346,1873.5918598932967,1151.5389052691091,3245.219791695955,0.95,mhd,mhd,LCC1,2,1795
1,2,3672.6143443898277,3525.504447360078,2147.2507064483098,6277.121929864999,0.95,mhd,mhd,LCC9,1,4302
1,2,3672.6143443898277,3525.504447360078,2147.2507064483098,6277.121929864999,0.95,mhd,mhd,LCC9,2,3210
2,1,1937.069443261356,1760.9275050339431,1126.072049478579,3305.5018192195357,0.95,mhd,mhd,LCC1,1,1569
2,1,1937.069443261356,1760.9275050339431,1126.072049478579,3305.5018192195357,0.95,mhd,mhd,LCC1,2,1895
2,2,3774.115577087235,3290.826299689596,2183.1508775015186,6524.031838856832,0.95,mhd,mhd,LCC9,1,4305
2,2,3774.115577087235,3290.826299689596,2183.1508775015186,6524.031838856832,0.95,mhd,mhd,LCC9,2,3223
3,1,1949.429963062802,1633.2427982776885,1021.7677482381654,3427.082649698283,0.95,mhd,mhd,LCC1,1,1564
3,1,1949.429963062802,1633.2427982776885,1021.7677482381654,3427.082649698283,0.95,mhd,mhd,LCC1,2,2011
3,2,3893.0954499985924,3844.5575881890327,2252.1038401750557,6879.765326967832,0.95,mhd,mhd,LCC9,1,4415
3,2,3893.0954499985924,3844.5575881890327,2252.1038401750557,6879.765326967832,0.95,mhd,mhd,LCC9,2,3293
4,1,1967.7112831277775,1976.3386795998872,1107.5726739121455,3450.5453701826455,0.95,mhd,mhd,LCC1,1,1624
4,1,1967.7112831277775,1976.3386795998872,1107.5726739121455,3450.5453701826455,0.95,mhd,mhd,LCC1,2,2044
4,2,4016.1880529334717,4496.710515357886,2306.875381091184,6565.875110780659,0.95,mhd,mhd,LCC9,1,4637
4,2,4016.1880529334717,4496.710515357886,2306.875381091184,6565.875110780659,0.95,mhd,mhd,LCC9,2,3481
5,1,1987.1904122756193,1688.4220992745968,1146.7793445518093,3630.5796301043256,0.95,mhd,mhd,LCC1,1,1705
5,1,1987.1904122756193,1688.4220992745968,1146.7793445518093,3630.5796301043256,0.95,mhd,mhd,LCC1,2,2104
5,2,4124.5259898571185,4160.796704267226,2251.1455229803973,7087.651932213265,0.95,mhd,mhd,LCC9,1,4830
5,2,4124.5259898571185,4160.796704267226,2251.1455229803973,7087.651932213265,0.95,mhd,mhd,LCC9,2,3564
6,1,2003.8571585639484,2129.101387712912,1133.3282403730677,3466.053720847947,0.95,mhd,mhd,LCC1,1,1700
6,1,2003.8571585639484,2129.101387712912,1133.3282403730677,3466.053720847947,0.95,mhd,mhd,LCC1,2,2123
6,2,4246.088770036863,4516.877290888287,2319.9738708969894,7370.234413939597,0.95,mhd,mhd,LCC9,1,5040
6,2,4246.088770036863,4516.877290888287,2319.9738708969894,7370.234413939597,0.95,mhd,mhd,LCC9,2,3767
7,1,2023.6507146176723,2522.8451826576525,1110.4551596217793,3426.3538294376926,0.95,mhd,mhd,LCC1,1,1756
7,1,2023.6507146176723,2522.8451826576525,1110.4551596217793,3426.3538294376926,0.95,mhd,mhd,LCC1,2,2154
7,2,4377.831883192808,5021.810278995305,2435.871741041633,7793.247366218446,0.95,mhd,mhd,LCC9,1,5226
7,2,4377.831883192808,5021.810278995305,2435.871741041633,7793.247366218446,0.95,mhd,mhd,LCC9,2,3946
8,1,2041.9419921385334,2159.20654098645,1058.0508617477694,3426.3995311585395,0.95,mhd,mhd,LCC1,1,1794
8,1,2041.9419921385334,2159.20654098645,1058.0508617477694,3426.3995311585395,0.95,mhd,mhd,LCC1,2,2180
8,2,4496.147793672924,5158.728410666224,2382.502891799018,7996.9397822432065,0.95,mhd,mhd,LCC9,1,5485
8,2,4496.147793672924,5158.728410666224,2382.502891799018,7996.9397822432065,0.95,mhd,mhd,LCC9,2,4093
9,1,2055.9232778229557,1983.1673400381044,1142.152316645979,3517.2218472210816,0.95,mhd,mhd,LCC1,1,1805
9,1,2055.9232778229557,1983.1673400381044,1142.152316645979,3517.2218472210816,0.95,mhd,mhd,LCC1,2,2274
9,2,4618.3080916208555,5360.555159555673,2806.0856822061587,8019.224824509027,0.95,mhd,mhd,LCC9,1,5620
9,2,4618.3080916208555,5360.555159555673,2806.0856822061587,8019.224824509027,0.95,mhd,mhd,LCC9,2,4157
