rank,j,y_rep_mean,y_rep,.lower,.upper,.width,.point,.interval,cell_type,well,agg_count
1,1,2383.2824229428143,2471.0155284487787,1708.9162120555907,3266.6657510207997,0.95,mhd,mhd,LCC1,1,3068
1,1,2383.2824229428143,2471.0155284487787,1708.9162120555907,3266.6657510207997,0.95,mhd,mhd,LCC1,2,2776
1,2,3902.356551337175,4161.790234245728,2844.497110135894,5552.856258420574,0.95,mhd,mhd,LCC9,1,3629
1,2,3902.356551337175,4161.790234245728,2844.497110135894,5552.856258420574,0.95,mhd,mhd,LCC9,2,4091
2,1,2439.617257583047,2199.329816525963,1718.9380583288814,3298.9828498899424,0.95,mhd,mhd,LCC1,1,2750
2,1,2439.617257583047,2199.329816525963,1718.9380583288814,3298.9828498899424,0.95,mhd,mhd,LCC1,2,2573
2,2,4014.74176635585,3577.3403493425685,2880.907712093291,5521.8356534885,0.95,mhd,mhd,LCC9,1,3478
2,2,4014.74176635585,3577.3403493425685,2880.907712093291,5521.8356534885,0.95,mhd,mhd,LCC9,2,4114
3,1,2503.656554957231,2581.1550820694483,1873.4363439189767,3406.1251566920873,0.95,mhd,mhd,LCC1,1,2477
3,1,2503.656554957231,2581.1550820694483,1873.4363439189767,3406.1251566920873,0.95,mhd,mhd,LCC1,2,2566
3,2,4133.612147626567,4415.50770708336,3018.3014013065986,5902.884620899699,0.95,mhd,mhd,LCC9,1,3598
3,2,4133.612147626567,4415.50770708336,3018.3014013065986,5902.884620899699,0.95,mhd,mhd,LCC9,2,4269
4,1,2563.9130125084625,2425.77546494807,1798.0023177493345,3633.959026325531,0.95,mhd,mhd,LCC1,1,2744
4,1,2563.9130125084625,2425.77546494807,1798.0023177493345,3633.959026325531,0.95,mhd,mhd,LCC1,2,2662
4,2,4254.597252872469,4192.27860948227,2960.2482454062397,5739.739574854172,0.95,mhd,mhd,LCC9,1,3749
4,2,4254.597252872469,4192.27860948227,2960.2482454062397,5739.739574854172,0.95,mhd,mhd,LCC9,2,4334
5,1,2626.184376058671,2753.1907692294712,1920.0779400547394,3687.4649062176186,0.95,mhd,mhd,LCC1,1,2865
5,1,2626.184376058671,2753.1907692294712,1920.0779400547394,3687.4649062176186,0.95,mhd,mhd,LCC1,2,2538
5,2,4367.235124730272,4320.517737754188,3017.4558199540134,5924.953022607392,0.95,mhd,mhd,LCC9,1,3944
5,2,4367.235124730272,4320.517737754188,3017.4558199540134,5924.953022607392,0.95,mhd,mhd,LCC9,2,4633
6,1,2693.33316259801,2825.551872463886,1887.1479430008937,3823.0281194317067,0.95,mhd,mhd,LCC1,1,2819
6,1,2693.33316259801,2825.551872463886,1887.1479430008937,3823.0281194317067,0.95,mhd,mhd,LCC1,2,2504
6,2,4490.429364015491,4386.094883277489,3251.8394957866863,6000.045592320394,0.95,mhd,mhd,LCC9,1,4148
6,2,4490.429364015491,4386.094883277489,3251.8394957866863,6000.045592320394,0.95,mhd,mhd,LCC9,2,4778
7,1,2757.1840542932614,3002.5512067564846,1948.1414460898927,4159.719335558842,0.95,mhd,mhd,LCC1,1,2796
7,1,2757.1840542932614,3002.5512067564846,1948.1414460898927,4159.719335558842,0.95,mhd,mhd,LCC1,2,2640
7,2,4615.10633277838,5243.3364131647795,3108.1377630275347,6457.863044566228,0.95,mhd,mhd,LCC9,1,4292
7,2,4615.10633277838,5243.3364131647795,3108.1377630275347,6457.863044566228,0.95,mhd,mhd,LCC9,2,4870
8,1,2821.602383571288,3064.7245455923007,2003.9512808380748,3985.7881810509293,0.95,mhd,mhd,LCC1,1,2670
8,1,2821.602383571288,3064.7245455923007,2003.9512808380748,3985.7881810509293,0.95,mhd,mhd,LCC1,2,2640
8,2,4739.736286117111,4522.996258196737,3419.148470629368,6475.897879083349,0.95,mhd,mhd,LCC9,1,4430
8,2,4739.736286117111,4522.996258196737,3419.148470629368,6475.897879083349,0.95,mhd,mhd,LCC9,2,5199
9,1,2891.33584210537,3070.105359148122,2143.924285949284,4111.9827914420675,0.95,mhd,mhd,LCC1,1,2820
9,1,2891.33584210537,3070.105359148122,2143.924285949284,4111.9827914420675,0.95,mhd,mhd,LCC1,2,2764
9,2,4862.038490282319,5053.156484266357,3473.7366553563647,6768.443090011315,0.95,mhd,mhd,LCC9,1,4637
9,2,4862.038490282319,5053.156484266357,3473.7366553563647,6768.443090011315,0.95,mhd,mhd,LCC9,2,5301
