i,theta,.chain,.iteration,.draw
1,0.044052527521972584,1,1,1
1,0.04483063663231377,1,2,2
1,0.04453661870015421,1,3,3
1,0.04370476335560023,1,4,4
1,0.04345605759715636,1,5,5
1,0.04339690263270683,1,6,6
1,0.04398625323114269,1,7,7
1,0.04398317524052926,1,8,8
1,0.04401094548596609,1,9,9
1,0.04446289598959338,1,10,10
1,0.04372793840758246,1,11,11
1,0.04450397049235716,1,12,12
1,0.044319063349342144,1,13,13
1,0.044340497120875615,1,14,14
1,0.04389005917806819,1,15,15
1,0.04459809094211138,1,16,16
1,0.04456934012250599,1,17,17
1,0.043374642799668246,1,18,18
1,0.0444721967545766,1,19,19
1,0.04507227241737901,1,20,20
1,0.04457621034123154,1,21,21
1,0.04512240402696674,1,22,22
1,0.04363506464449627,1,23,23
1,0.04387869965398602,1,24,24
1,0.04378307119790534,1,25,25
1,0.04391292557438577,1,26,26
1,0.04358477775734785,1,27,27
1,0.0458867038073239,1,28,28
1,0.04522167906110747,1,29,29
1,0.04436143206985588,1,30,30
1,0.0433573637426181,1,31,31
1,0.04335258901608274,1,32,32
1,0.043161555094997,1,33,33
1,0.0427410041606291,1,34,34
1,0.044078864914717804,1,35,35
1,0.04459973689863465,1,36,36
1,0.04383139599644126,1,37,37
1,0.044069237208154026,1,38,38
1,0.044353315210775346,1,39,39
1,0.04386661888805972,1,40,40
1,0.043772983128005136,1,41,41
1,0.044878324351134084,1,42,42
1,0.043750035293044505,1,43,43
1,0.04387487119535017,1,44,44
1,0.044305758025267754,1,45,45
1,0.04414727698295398,1,46,46
1,0.043536168123943064,1,47,47
1,0.04378299255016627,1,48,48
1,0.043582755293134275,1,49,49
1,0.04439630951752137,1,50,50
1,0.04434750543858034,1,51,51
1,0.04476672816621868,1,52,52
1,0.044504757764370156,1,53,53
1,0.04496755684860583,1,54,54
1,0.04326986229876479,1,55,55
1,0.04363018703168353,1,56,56
1,0.043853988206075036,1,57,57
1,0.04404854482376034,1,58,58
1,0.044080543542863726,1,59,59
1,0.04444699458588743,1,60,60
1,0.04422538230503308,1,61,61
1,0.043993609378314084,1,62,62
1,0.044563059775822915,1,63,63
1,0.04460018393070138,1,64,64
1,0.04480611509069176,1,65,65
1,0.044589454156896156,1,66,66
1,0.044810943857835794,1,67,67
1,0.04423366580938787,1,68,68
1,0.04423366580938787,1,69,69
1,0.04423366580938787,1,70,70
1,0.04356589605157678,1,71,71
1,0.044131004761515415,1,72,72
1,0.04402573919922044,1,73,73
1,0.04399360405744167,1,74,74
1,0.045096889725666854,1,75,75
1,0.04342647286246389,1,76,76
1,0.043596192364700685,1,77,77
1,0.04416807939476355,1,78,78
1,0.04468237307001205,1,79,79
1,0.0451722166438177,1,80,80
1,0.044794822066911384,1,81,81
1,0.044551445749603576,1,82,82
1,0.04382088502432147,1,83,83
1,0.0437718325475403,1,84,84
1,0.04426553820495389,1,85,85
1,0.04382016717930734,1,86,86
1,0.04428717624166873,1,87,87
1,0.04356619718018719,1,88,88
1,0.0438555274632457,1,89,89
1,0.04406013295989917,1,90,90
1,0.04420091023626821,1,91,91
1,0.04380606212075294,1,92,92
1,0.04467100506420277,1,93,93
1,0.044678331342322936,1,94,94
1,0.04370640587206621,1,95,95
1,0.043874605916080237,1,96,96
1,0.044151271320105295,1,97,97
1,0.042858557728468014,1,98,98
1,0.04307262730728298,1,99,99
1,0.04428938735888421,1,100,100
1,0.044265066117563014,1,101,101
1,0.04487961239430204,1,102,102
1,0.045072182057901096,1,103,103
1,0.04457733225741902,1,104,104
1,0.04415012981590236,1,105,105
1,0.044472787936256274,1,106,106
1,0.04360438698591547,1,107,107
1,0.04396091048178672,1,108,108
1,0.04396896788543929,1,109,109
1,0.043690969379270195,1,110,110
1,0.04359044019177672,1,111,111
1,0.04331380651339974,1,112,112
1,0.043256639314070464,1,113,113
1,0.043929758269473373,1,114,114
1,0.043590071059672164,1,115,115
1,0.04372803998174707,1,116,116
1,0.04419702729718469,1,117,117
1,0.04423515015658665,1,118,118
1,0.044103573100607044,1,119,119
1,0.04452107176049441,1,120,120
1,0.04442323011913072,1,121,121
1,0.043862466774393295,1,122,122
1,0.043939419470054364,1,123,123
1,0.044136267852178716,1,124,124
1,0.04424380540423428,1,125,125
1,0.04459390038622187,1,126,126
1,0.044112100063910656,1,127,127
1,0.04528693177323479,1,128,128
1,0.04357847859744883,1,129,129
1,0.0447673325382869,1,130,130
1,0.04387382654557459,1,131,131
1,0.04400308980225481,1,132,132
1,0.04424717302700069,1,133,133
1,0.04415298554624488,1,134,134
1,0.043393133163050865,1,135,135
1,0.044389906277335585,1,136,136
1,0.04431023044380606,1,137,137
1,0.043947250210206165,1,138,138
1,0.04403113021828551,1,139,139
1,0.043813716189959155,1,140,140
1,0.043378081331002745,1,141,141
1,0.04375371457115791,1,142,142
1,0.04431225012224604,1,143,143
1,0.04447103289888446,1,144,144
1,0.044523690499407444,1,145,145
1,0.04444124228801486,1,146,146
1,0.04305415311253609,1,147,147
1,0.043011850258115034,1,148,148
1,0.04487948200627775,1,149,149
1,0.04479820650721313,1,150,150
1,0.04453178213887894,1,151,151
1,0.04472106292159341,1,152,152
1,0.04424226983815795,1,153,153
