par,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
theta[1],0.030212797175551857,9.766342848428209e-6,8.466436491268143e-4,0.028595106485148125,0.029629393919870323,0.03019629808978986,0.03077191747968807,0.031909442041435726,7515.145228124064,1.0003906376912486
theta[2],13331.79600806073,4.792767629354913,446.7292742879944,12501.126393157378,13019.297938821537,13319.19578558106,13625.078976016925,14234.658238278655,8687.925317137655,1.0001673217224045
sigma[1],0.10487876694863368,5.861072790068447e-5,0.006095567512394675,0.09375183391818616,0.10056701259602502,0.1046148671588889,0.10884055787420313,0.1174663456215577,10816.183868664859,1.0002000734973784
y0_hat[1],1066.3235810604801,0.21981506962969574,20.84322325597283,1026.1423711758964,1052.1872218946432,1066.3534385053604,1080.3628818606567,1107.471349899126,8991.141563412497,1.0002923162074147
"y_rep[1,1]",1102.9786461483773,0.8552352255505292,117.71004226143415,889.7498895777014,1022.0973971694596,1096.847428900252,1177.5912656087357,1350.9521983698787,18943.31018168566,1.000029586476189
"y_rep[2,1]",1132.6746133238642,0.8507015523978484,120.89517370758612,913.0740874627079,1049.497027578853,1125.5945472820408,1208.1505794960935,1387.2470613874402,20195.912320599113,1.0000056063848894
"y_rep[3,1]",1165.1667190190544,0.8915994085198098,125.55630639868896,936.0454850936017,1077.865712964976,1159.0811427582553,1245.843847165442,1430.3796915996948,19830.67600132687,0.9999583382467941
"y_rep[4,1]",1198.1965505352418,0.924150527884705,127.68596851760934,967.5064011634505,1109.0044450399082,1190.440244392182,1280.2037659664406,1468.056271332386,19089.779771401467,1.000154394130912
"y_rep[5,1]",1230.4704738503453,0.9388487492804857,130.92892824911274,994.9693836895196,1139.1583647256662,1223.6041011251364,1313.4149719435425,1504.5234585047967,19448.224612330312,1.000158409799836
"y_rep[6,1]",1264.2694100772876,0.958529979958689,134.018276810945,1024.6964188193438,1170.2216835537752,1256.6494001409897,1349.6425906962668,1543.7772909054838,19548.64488182452,1.0000749134100844
"y_rep[7,1]",1298.9471372217558,0.9948734223805165,137.28798914257817,1048.8764132011902,1202.8979039844148,1293.0688860328316,1386.630680623744,1588.359021195968,19042.739651193013,1.0000164410484111
"y_rep[8,1]",1335.3790891871708,1.012936945121257,142.82384901407895,1075.3103639860221,1236.2532684301655,1328.7266186692518,1424.7942944157135,1639.2879203868572,19880.92754744049,1.0000743104324799
"y_rep[9,1]",1371.8323390771961,1.0381986249301947,145.71432183406563,1108.8414649212186,1270.1263360481153,1364.4988672074983,1464.3662917185866,1677.0069252454487,19698.972782319786,1.000266717791874
