par,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
theta[1],0.04416536124006988,6.576760027201825e-6,5.809576398237269e-4,0.04302585251250055,0.04377460863636439,0.04416309786158113,0.044552087184641855,0.045298336542036056,7803.059943906014,1.0001140401828748
theta[2],14460.0600282547,0.8844185737841117,90.91272168398068,14283.525021374158,14398.740883628256,14459.5117813358,14520.16227493044,14638.990254082408,10566.559668417873,0.9999403557160652
sigma[1],0.041344182941224474,2.1635676710602483e-5,0.0024251199122926814,0.03694441014241105,0.039650776979257805,0.04121641615120142,0.042909781153249296,0.046405828530295026,12563.92884997872,1.0000676370342347
"y_rep[1,1]",1727.5952671635068,0.5342254948752291,73.3069070481332,1588.6129332158216,1676.9870953022141,1726.496328968848,1776.2858741072798,1875.8424186378045,18829.577368673716,1.0001477618839716
"y_rep[2,1]",1795.6273673391327,0.5505264046079252,76.77092760869041,1651.2847837483205,1743.0339344175538,1793.5215112214748,1846.7299940078185,1950.606712181398,19446.312878391032,0.999950806524328
"y_rep[3,1]",1866.878148755968,0.5683094966984639,79.0551597619137,1716.9521486945725,1812.5463634632517,1864.9683241204198,1918.8099707751887,2028.1438917487158,19350.429750163283,1.0002432995677912
"y_rep[4,1]",1938.425099535489,0.5913635481370584,81.94047235958007,1783.4825298908877,1882.643221075849,1937.029957579172,1991.8661608824054,2105.9999665625205,19199.40741345588,1.0000067938146588
"y_rep[5,1]",2013.7424247725196,0.616970234758009,85.50113366259014,1850.754857577245,1955.946830506128,2012.3138768273598,2070.5941670985158,2187.3025716642587,19205.044663204073,1.00002339600824
"y_rep[6,1]",2091.7862372389172,0.630560383849231,87.48155146881925,1923.6441354508038,2032.6013080579337,2090.740882487537,2149.0305207115734,2267.447106575871,19247.733165373316,1.0001257546627365
"y_rep[7,1]",2172.2031538087185,0.6653848803359851,91.91873388228308,1997.0403258443935,2109.295750962623,2170.929383440648,2232.709584272252,2356.9054531077422,19083.683755017253,0.999880748714845
"y_rep[8,1]",2256.4220691365313,0.6913668793181279,95.081051433966607,2074.351096443082,2191.966315139693,2254.514528986442,2318.564684984918,2449.2327099829995,18913.45239054102,1.00008904973679
"y_rep[9,1]",2340.9169140479194,0.6995273035832464,98.48588683514988,2155.0021804552425,2273.891688923539,2339.5010346383624,2405.6758594979806,2538.8697756288,19821.597784237038,0.9998974929622366
"y_rep[10,1]",2428.541327903665,0.713091849260551,101.23379133150823,2235.8775405513993,2359.4060860197164,2426.40359313669,2495.448978677041,2630.171703894506,20153.944542673933,1.000123232260028
"y_rep[11,1]",2518.8894911731477,0.7500541614316486,104.81133913196958,2317.145570215346,2447.1959436608954,2517.480247116178,2587.725650045255,2728.543633886022,19526.809517186022,0.9999990411043445
"y_rep[12,1]",2611.9319186892517,0.7708011943872424,108.50349024940631,2406.1033579993637,2536.707160385119,2610.1628296482613,2684.1027460716036,2829.5482007846094,19815.39157794924,0.9999707696447931
"y_rep[13,1]",2708.265716073154,0.8008782200546065,113.29045786308347,2490.293651974874,2630.522933695929,2706.5592038265527,2782.959119678738,2935.6773080398366,20010.304512992014,0.9999128587968065
"y_rep[14,1]",2804.808697599829,0.8360422623335598,117.14349250883353,2579.008103075925,2724.6473014829044,2802.3586404726966,2883.0355815071816,3041.7734056811655,19632.69285351868,0.9999040663527994
"y_rep[15,1]",2909.0755236495897,0.8651505026846994,121.68056321369087,2678.6873384065493,2825.8471882300078,2905.9689969693527,2989.580081946874,3156.3752348207536,19781.49422340877,1.0000926894981121
"y_rep[16,1]",3013.310956013503,0.8786005265208059,124.93987405540443,2778.9072250604736,2928.8480802254703,3009.263078386515,3096.1221926453363,3269.293854744145,20221.77199284712,0.9999546128025618
"y_rep[17,1]",3119.018014816386,0.9349797355775137,131.41491215900837,2870.8749761847776,3028.932925617336,3115.1939270699822,3205.573338685583,3384.651354126002,19755.3578866598,0.9999143045110345
"y_rep[18,1]",3228.7136666241936,0.9527381333317324,134.40576766144082,2969.630122607625,3137.4473794175606,3226.4545162327267,3318.3103288521374,3498.7303025318124,19901.63307854213,0.9999915966427791
"y_rep[19,1]",3340.67867597114,0.9926273877695577,140.16807671148385,3074.723284474283,3244.804806165391,3337.5204523321772,3432.2208199665347,3627.091445164498,19940.0260404053,0.9999651333972693
"y_rep[20,1]",3453.8476772603262,1.0416153192968267,144.15554425703598,3177.268586429254,3357.0373855483977,3450.376458179292,3548.4307696422306,3744.8384311160034,19153.492816243266,0.9999717873696518
