par,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
theta[1],0.2353202642613153,6.181506525030312e-4,0.07275356150718072,0.09717196944700299,0.18487525060026191,0.2338592530039479,0.2836580297367731,0.38321794462968056,13852.235055838473,0.9999939780145787
theta[2],0.4434729512526941,5.975704689144723e-4,0.08867444704009504,0.26766004586897924,0.3839921294451927,0.4439221454741523,0.5032592854381994,0.6163311897560227,22020.07144281955,1.0000315954592793
theta[3],0.015329472647232978,9.165652977275821e-6,0.0013861385070568835,0.012620513076988332,0.014395422764963603,0.015318745140972206,0.01626549327769777,0.01805147124921923,22871.067532369063,0.9998976327011635
theta[4],0.04423091919162825,3.6026418754601426e-6,5.783350367203465e-4,0.043083996391140515,0.04384202280698875,0.044235029166460285,0.04461835023762137,0.04537186186345013,25770.142591264215,1.0000030326524731
theta[5],7002.350046005638,7.541498172353933,908.4867258885323,5252.236281779705,6383.623797326505,7001.070829093518,7620.55898855935,8774.012019352618,14511.820970950857,0.9999709983995431
theta[6],14453.431714540922,0.5622998064747446,90.42845663625245,14276.620792277598,14392.364802463553,14453.139832887251,14514.156957644464,14631.291240615317,25862.730202471772,0.9998737000579822
sigma[1],0.13392846984253515,4.7557964676682407e-5,0.007427806072546588,0.1204200580969223,0.12880942431165648,0.13364981127000347,0.13867919224632708,0.1494300133725314,24393.526700085746,0.9999553693809866
y0_hat[1],1880.7142907356877,0.28267771081445403,46.11243124389262,1791.8426788157867,1849.1784362173985,1879.636011911702,1911.5148012089367,1973.1036507112474,26610.492354934482,0.9999272619355826
y0_hat[2],3519.5586295998096,0.5472090172373296,87.19303937987652,3351.0168510734698,3461.1155862055025,3518.575999331766,3577.469791293952,3695.769786871604,25389.675045341624,0.999841875599712
"y_rep[1,1,1]",1916.3004734803235,1.8567795485050864,262.77888071809247,1452.125875485184,1731.9141134006022,1899.1802869031076,2082.836134715738,2481.1756670644204,20029.04438934712,1.0000706292889987
"y_rep[1,2,1]",3662.731823728701,3.528940676748932,504.0694598875281,2776.7737106939917,3312.3940933051867,3628.8957200373125,3976.5915605682653,4745.848889706851,20402.90727080176,0.9998310904240743
"y_rep[2,1,1]",1935.0747452996363,1.8640443708439471,265.2644296528722,1461.7089917758703,1749.4795050892603,1918.1984470049506,2099.130839996812,2501.7275494517153,20250.956627149033,1.000292477036873
"y_rep[2,2,1]",3777.689370711861,3.7484197134886243,515.9878982965997,2864.009014795658,3411.8532828522484,3743.810931870061,4103.9856479910095,4871.189977805556,18948.83899217741,0.9999245515819193
"y_rep[3,1,1]",1951.5685320821535,1.8553569481949317,265.1333279767847,1481.3167575461339,1764.8111830722132,1935.938995759319,2117.1220728639164,2519.6012983063374,20420.844408631583,0.9998769695001598
"y_rep[3,2,1]",3896.7761246056434,3.8200924465452273,530.0917935419585,2958.6329551322638,3525.4364619748612,3860.7228652084236,4223.621108464368,5059.846949781431,19255.4829520844,1.0002822222446968
"y_rep[4,1,1]",1973.423130049298,1.9143092643272632,271.13549599231686,1492.1079662583943,1784.6225513195157,1954.2225480025418,2142.2428656332618,2555.651640954206,20060.81406318856,0.9999875082693802
