par,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
theta[1],0.027577474377686945,2.670479072848347e-4,0.029075393600066817,-0.029280417522329114,0.007843965762770291,0.027503820730615466,0.04699969045843081,0.0855553837270226,11854.216294534668,1.0001117362609855
theta[2],-0.07447398633628544,2.667006946649425e-4,0.03105352620256922,-0.13451246953864263,-0.09525720776040478,-0.0745931107857705,-0.0538095139167525,-0.013262014084497268,13557.310765832604,1.0001737819079914
theta[3],0.030485830132173566,5.889140516052027e-6,7.752418533937041e-4,0.028981421433411907,0.029959051654106426,0.03048962576691213,0.031015265752828345,0.03200573454392172,17328.88376789014,1.0000747805031884
theta[4],0.038968828166882775,7.771041335648463e-6,0.0010790042063113436,0.03688033780672347,0.03824061256021165,0.03896017055658355,0.03969416627504278,0.04109274693179902,19279.14800010896,0.9998392650730029
theta[5],13146.363637369906,3.9059812077130345,452.7546456000045,12259.045284662136,12844.848064059239,13141.09015258354,13449.668379134946,14043.69014335083,13435.861902428076,0.9999747709513171
theta[6],14399.197337692545,1.9258453299390694,232.41022262065846,13947.842421845518,14241.565431287603,14398.421888911376,14555.871786569156,14853.881530899256,14563.563166874783,0.9999839496779823
sigma[1],0.08201109297574795,2.603538506552612e-5,0.003980508236535,0.07472015538939744,0.07925644375909376,0.08183212641320674,0.0845938309020988,0.09027875570681562,23374.861333424462,1.000011612967782
y0_hat[1],2315.73636240688,0.2533979513152825,35.311402756945974,2246.5182276251962,2292.01558914761,2315.69828473484,2339.598747331975,2385.157799994598,19418.860508424976,0.9999265246030229
y0_hat[2],3776.9277182069504,0.411753608058538,60.023877700720206,3659.884150047395,3736.5712718124782,3776.612009183925,3816.5699721523993,3896.3293491802865,21250.70146475678,1.000098724107337
"y_rep[1,1,1]",2383.2824229428143,1.4297171928888222,199.11259948108773,2017.7977903704304,2245.2353599051603,2375.374384384724,2511.17989672056,2799.283009173352,19395.331416966335,1.0000532128812243
"y_rep[1,2,1]",3902.356551337175,2.3683793393456454,326.5099916076108,3295.8824478529455,3676.13118542766,3890.687016244993,4113.937370042511,4585.399321184192,19005.986823425363,0.9999661950561939
"y_rep[2,1,1]",2439.617257583047,1.4823361717773422,203.14793043138002,2068.730092084046,2299.6951507145204,2431.0919009437275,2572.881849284002,2859.23976988894,18781.548320892103,1.0000067864795006
"y_rep[2,2,1]",4014.74176635585,2.367498679300819,336.4398483696937,3395.97624158082,3781.9588076077625,4000.9428709355443,4233.978895400245,4708.805212388783,20194.60515818466,1.0000262900593861
"y_rep[3,1,1]",2503.656554957231,1.4840252385357304,208.8821366507803,2121.265707779213,2358.7164678570803,2492.7047717172886,2640.3488522097846,2937.98459038551,19811.621787260374,0.9999085563568239
"y_rep[3,2,1]",4133.612147626567,2.417988208573473,343.61681686544586,3506.8689625101715,3895.826477755496,4122.454227991675,4356.042800547245,4843.386624851021,20194.842172686516,0.9998886271906097
"y_rep[4,1,1]",2563.9130125084625,1.5190960476852826,214.64854155514917,2169.38993676276,2416.338858277707,2554.2957445194634,2700.7258804040666,3013.61773194953,19965.740231790234,1.0000769465268955
"y_rep[4,2,1]",4254.597252872469,2.4947468440913663,354.42485793495143,3606.652067771389,4010.866945493645,4237.931693811572,4483.550311993283,4995.60768519295,20183.44911548183,1.0000847869639804
"y_rep[5,1,1]",2626.184376058671,1.5754445079854291,217.9835093977765,2224.376044532516,2475.1717018428926,2618.123124923991,2765.9443508221875,3079.6539205337886,19144.369115887777,0.9999646209006271
"y_rep[5,2,1]",4367.235124730272,2.534368276131254,362.9879232359255,3700.766303783749,4117.635192686196,4350.828605451916,4602.510563013259,5118.8828787533475,20513.742743946197,1.0001913416797266
"y_rep[6,1,1]",2693.33316259801,1.5906253296961446,224.11902968562578,2282.664569292513,2538.767440611541,2682.76125405637,2836.4372721018167,3165.8378739419504,19852.79595654418,1.000002236242174
"y_rep[6,2,1]",4490.429364015491,2.621580037140454,374.68982655511576,3799.1625757037705,4231.710445025368,4473.0883230019335,4734.948670259774,5266.811370073472,20427.610116078165,1.0002048722991175
"y_rep[7,1,1]",2757.1840542932614,1.657022956489187,230.34667542244915,2334.1336724082294,2597.8809726161553,2749.0639476106203,2904.7752029347284,3234.6713882327654,19324.436847991023,0.9998501697844777
"y_rep[7,2,1]",4615.10633277838,2.7291525644158767,388.1704378896444,3909.5715941219673,4343.408503278366,4599.272548008249,4867.714303884552,5416.975824059555,20229.692747424408,0.9999137032583927
"y_rep[8,1,1]",2821.602383571288,1.6469695947387117,233.55109948980112,2390.429893219657,2658.028013840991,2812.432792472643,2972.3387443319034,3310.2572126431114,20109.101636094616,1.0000668083520374
"y_rep[8,2,1]",4739.736286117111,2.83407702801256,396.62154453549226,4007.177841394505,4468.111843269163,4723.648469213509,4996.848798965209,5563.961505998921,19585.258280223414,1.000041475263972
"y_rep[9,1,1]",2891.33584210537,1.7233924697171938,241.60827884434116,2440.189473281013,2724.1926931836038,2881.234151652521,3048.807713261225,3389.1042430841876,19654.194118499636,0.9999044368349153
