i,.draw,1,2
1,1,2079.7808833831964,3972.259861371598
1,2,1962.429187437116,2759.8318144748337
1,3,1506.937544873659,3190.6406918758667
1,4,1570.0466226064964,3468.6203466863385
1,5,2644.624157555646,4084.5534620203916
1,6,2274.7524175290278,3368.1577456852037
1,7,1962.3186753006448,3246.016187153694
1,8,2037.9743462059837,3507.60900689798
1,9,1923.8465847078373,3355.0132062213415
1,10,1630.6495780278788,4055.1059889882217
1,11,2017.1624023605386,3588.6452323398807
1,12,2221.5387283882014,3985.574964088459
1,13,2049.5184053661283,3296.0047265351536
1,14,1700.5670616154305,3522.9891226910727
1,15,2095.871789117734,3629.8794417605013
1,16,1579.7091936773902,3309.2417967019987
1,17,1646.133844904069,4109.539358841273
1,18,1332.3018888013441,3320.504468552847
1,19,2140.461758629667,3016.1863074085995
1,20,1999.9004629540348,2999.36809013604
1,21,1615.7693633389044,4157.721729881223
1,22,1922.4827120496493,3881.3184377482426
1,23,2241.0351112252856,3573.3011956081305
1,24,1886.8408851389202,3361.461376575055
1,25,1829.3174828434621,3636.9667909663735
1,26,1902.3002051399233,3363.764145394436
1,27,1813.8455921156701,5165.393918225061
1,28,1698.2303366530282,4088.1815195094637
1,29,1476.6313754222742,3669.2924626232107
1,30,2126.6699724861724,4094.898806694558
1,31,1556.579355580788,3397.7294093552136
1,32,1666.786944014426,2927.6681171416076
1,33,1670.0756338171818,4016.9369244908153
1,34,1700.296312243306,3804.3238422842687
1,35,1774.77566691775,4366.051925772712
1,36,2112.331100385388,3515.472450830898
1,37,1728.3426071011497,3739.6587919744975
1,38,2153.6067780001877,2963.3727856784803
1,39,1872.5310741990013,3827.075033527171
1,40,1852.080572210044,3938.9268354161377
1,41,1829.5038335813947,3090.2521686655787
1,42,1721.6252049229545,3289.9675385655137
1,43,2065.011012046077,3774.3089725517593
1,44,1759.882181403836,3579.605164186507
1,45,1891.7515048189673,3435.4712793907556
1,46,2012.1603101428923,3667.912610380517
1,47,2529.465149285602,3481.175972750743
1,48,2101.286746577252,3337.2311365474375
1,49,1825.1571609680439,3524.4341026334696
1,50,1833.6924132759996,4051.438048153521
1,51,1518.1643669787709,4465.8971658064975
1,52,2392.592021144263,3977.415314448846
1,53,1826.5615931895604,4361.067056736655
1,54,1799.3077959594316,3735.497207412686
1,55,2386.173462620805,3599.9133731152724
1,56,1711.218262689772,3091.1506195610764
1,57,1609.2539131133094,3562.759581372866
1,58,1893.0632207998913,3144.153820986693
1,59,2175.869470258783,3515.9696645437434
1,60,2239.6029908642026,3553.586980028804
1,61,1943.651194330608,4521.48987144398
