i,.draw,1,2
1,1,2426.3462380595497,3875.9647757785415
1,2,2245.2961686455687,3834.0019209880247
1,3,2412.634755748358,3656.9671827352395
1,4,2407.7204162006583,3993.6597790715364
1,5,2569.8219731410995,3868.6390331657367
1,6,2336.63709791705,3927.177149929612
1,7,2364.813496651195,3945.3877085938752
1,8,2342.8005788120995,5006.678506428519
1,9,2363.473190834827,3139.406109621285
1,10,2674.485769748212,4037.9270254678117
1,11,2718.471826298908,4050.0296704006046
1,12,2199.105393625108,3723.2900804694245
1,13,2419.25251917771,4184.977139315319
1,14,2160.217344281704,3088.9010807497484
1,15,2501.7702397436224,4096.508952985326
1,16,2359.0954555468657,4458.758782360795
1,17,2250.203970557216,3978.370541513715
1,18,2470.7214248205164,4295.866775120838
1,19,2212.647684249961,3706.7045145746165
1,20,2588.9729747897304,4012.189291636962
1,21,2250.777136732071,3727.4843804719812
1,22,2561.427732455291,3282.206459256523
1,23,2156.2793169577762,4534.7270642276135
1,24,2373.1103946614226,3350.4954988535205
1,25,2111.9735792948036,3892.9243726230197
1,26,1895.4403222735518,3651.0153790334043
1,27,2575.168347925831,3922.8068426464806
1,28,2368.4686931783926,3880.7552410300814
1,29,2586.6868017727265,3953.2554628552916
1,30,2331.7715492195125,3833.073703003655
1,31,2391.1625524268397,4037.4891546180725
1,32,2094.8292109935683,3697.210549556649
1,33,2495.646638576484,4402.921118608737
1,34,2056.307846857072,3900.7866931696717
1,35,2432.7688824207244,3787.3094186225753
1,36,2361.6598612880507,3890.205697947245
1,37,2602.977251996455,3551.0676259832303
1,38,2117.8621918365207,3495.2240646135224
1,39,2548.906370443717,3505.869514263305
1,40,2578.0143837682067,3522.721700152017
1,41,2394.777216613536,3721.2090314046486
1,42,2875.1381151239675,3950.883848882859
1,43,2446.027160832017,3450.559644545083
1,44,2361.044731627024,4788.188340887199
1,45,2454.22744627311,3732.753426358337
1,46,2557.6377938432934,3974.5712436912927
1,47,2736.3167756091566,3911.5440804114305
1,48,2539.0293184763673,3528.119398619269
1,49,2735.6550024502462,3549.9968732375523
1,50,2134.4262490599067,4421.898811525982
1,51,2463.748304202204,3879.999801998111
1,52,2943.657221225354,4381.683965316383
1,53,2318.5742843849116,3891.2649027855095
1,54,2668.4705234082426,3839.3354100257916
1,55,2238.317701388141,3751.757736883246
1,56,2207.0098574325934,3682.730930994266
1,57,2302.651381161562,4111.342804964676
1,58,2254.535733508378,3999.938865625956
1,59,2302.6224595208296,3934.708509672681
1,60,2435.3181692393355,4082.8048983765516
1,61,2210.9014416773293,3378.1823909987966
1,62,2225.827564816334,3935.570507749408
1,63,2835.028603005204,4132.226923017664
1,64,2149.878563474069,3601.198100329608
1,65,2294.033570974917,3748.0746985113688
1,66,2448.533428961134,4420.015784631405
1,67,2027.012267499502,4222.183614041692
1,68,2300.062163121585,3388.1157149064757
1,69,2335.347043201199,3990.572408026538
1,70,2429.947482952449,3959.1448513319556
1,71,2342.5956539303224,3761.1558187137452
1,72,2734.7459922396183,3743.1129325182364
1,73,2113.726024013897,3612.1848835879273
1,74,2898.3327751256343,3103.3672632463204
1,75,2720.691483720749,4618.309351419423
1,76,2238.7321838133817,3907.702038871539
1,77,2568.1739320973843,3785.197708564467
1,78,2582.203766243179,3302.283569416884
1,79,2573.706111305557,3608.2147787821186
1,80,2472.405060135173,3317.764306885341
1,81,2533.6104820035976,4277.476878746251
1,82,1968.909490011414,3665.5446050198907
1,83,2487.2320508446473,4109.792640849137
1,84,2183.211477137568,3355.8411083815627
1,85,2553.7407832099216,3568.0028145309616
1,86,2488.8065543833613,3897.8698432572096
1,87,2194.546378838777,3369.615295999265
1,88,2499.5782275381393,4134.468721743015
1,89,2390.907282433775,3876.754171655404
1,90,2285.1268900616637,3417.9612672988756
1,91,2187.4720996353262,4247.33592093881
1,92,2764.1335482358395,3978.0480653914224
1,93,2502.8894218358255,4203.868298974847
1,94,2725.28972869368,3264.767434877137
1,95,2252.2628233208734,4017.428038728326
1,96,2001.6882488676983,3846.9403122891754
1,97,2349.95903114502,3537.316206913828
1,98,2562.6759181233656,3832.2822297676043
1,99,2679.603515120279,4477.527794440995
1,100,1978.510003173374,3533.6377028634492
1,101,2094.9881620803108,4326.677692931965
1,102,2547.28979783771,3955.055531056816
1,103,2169.0725302710234,4689.089043052284
1,104,2781.783814964143,3649.697894186522
1,105,2840.0215849756223,4248.540183998359
1,106,2517.664186478037,3768.502346474241
1,107,2295.558808653719,3473.557199854866
1,108,2308.379478369769,3715.8905913573385
1,109,2560.8444895985463,3770.4473733334844
1,110,2403.3159527893945,3788.0354933373505
1,111,2099.0791307509567,3915.0856666077348
1,112,2503.083979119548,3557.8758139961346
1,113,2243.404995296866,3696.6535938542806
1,114,2245.866549582317,4105.487781970329
1,115,2277.797477947191,4140.985767075849
1,116,2081.597813884472,4161.175544269244
1,117,2444.253367768189,4414.696934583464
1,118,2515.8006538269037,4286.132650646708
1,119,2216.719961328641,3898.330312835033
1,120,2038.0956058359372,3441.873274219135
1,121,2521.153737336085,4328.049335568303
1,122,2546.6399020289664,4049.3662899830006
1,123,2264.693944250223,4318.415915345009
1,124,2556.503080660282,3551.98956766565
1,125,2316.591261944145,4005.701195811458
1,126,2558.9986671683755,4111.324725394924
1,127,2206.8792722120415,4409.200427088779
1,128,1987.2724008288435,3681.604554363915
1,129,2204.4881440073723,3887.306867002862
1,130,2282.258275265255,4413.394513923752
1,131,2360.2713460815094,4186.630673022518
1,132,2376.6603185282293,3812.0804013329684
1,133,2145.4340297764547,3789.5225782398056
1,134,2114.3772795341074,3749.213355254487
1,135,2212.3584062172486,3987.1415606777327
1,136,2082.7048365800847,3352.84697150888
1,137,2335.241888556141,3593.9405814069933
1,138,2344.3245940484385,3717.5305743379945
1,139,2076.8873452191865,4383.773031093353
1,140,2235.6819665493235,4070.8396579938026
1,141,2225.566680811285,4192.271685948891
1,142,2176.2778375864173,3492.0054459411576
1,143,2302.8654130186915,3789.4249268885824
1,144,2544.6698341183014,3958.7620983087686
1,145,2752.5883606820535,3524.294099267736
1,146,2359.3921732956037,3404.6087239874296
1,147,2257.7541444373464,3590.2090968132848
1,148,2681.1792530076473,4755.440084321
1,149,2228.3033136583613,3592.8123772933045
1,150,2596.7159981703635,3399.008715427281
2,1,2666.2917569986967,5002.584481544797
2,2,1915.176615211801,3927.747606129753
2,3,2190.7547118026864,3950.2572995598766
2,4,2484.1776055929263,4033.9737768448567
2,5,2698.0323561741357,3964.985422214825
2,6,2021.0682019925932,3820.6879149715787
2,7,2158.2354121235435,4217.178585425717
2,8,2329.8232411736403,3707.4215934673425
2,9,2590.375397336696,3415.3914208381525
2,10,2906.721375141345,4180.176011536543
2,11,2340.4601960020273,3462.346331534514
2,12,2263.0795721493814,4122.936776118911
2,13,2564.762365983087,4005.890001547141
2,14,2236.6923594807604,4343.941363624248
2,15,2421.7021700619807,3626.504554106324
2,16,2446.654905384167,4028.113256598478
2,17,2291.734907450012,4377.101922754888
2,18,2643.8281602363545,4116.643852556214
2,19,2385.243694134014,3630.895882913679
2,20,2168.3328397869877,4392.4595813097585
2,21,2350.2831623892093,4176.986889373908
2,22,2683.484164999856,3666.8006538009963
2,23,2265.3010782227025,4481.279585274184
2,24,2279.547291717842,3269.481220717376
2,25,2552.2184878336457,4771.303121914288
2,26,2840.277321835288,4349.525411428709
2,27,2422.993106515623,3824.3330087392055
2,28,2459.7750332203436,4195.583040808263
2,29,2635.7172774055093,3991.2778209519224
2,30,2494.0380152409457,4529.244682517835
2,31,2530.7328592948415,4338.663833906377
2,32,2201.2144139482753,3604.1869544471974
2,33,2426.9542363816054,4196.903133636453
2,34,2230.2355705134946,4238.4002898186345
2,35,2316.4023542534005,4061.339699817039
2,36,2658.011558445418,3668.3791151280393
2,37,2417.7664691691893,3653.6978443860294
2,38,2275.951910747085,4014.0040893940436
2,39,2179.333874170115,3965.543456616662
2,40,2476.3654086838305,4038.896003899703
2,41,2817.7549479318036,3793.9276538281474
2,42,2476.517486348412,3601.7713118434626
2,43,2611.2007332602993,3776.7339632426324
2,44,2450.206184498785,4248.543567879045
2,45,2362.540940654173,3430.4017066498977
2,46,2593.87724150399,3728.9050178370653
2,47,2299.8399029012207,3783.1522441100315
2,48,2310.4633930834434,4244.563327516955
2,49,2692.8536218411277,3730.885755856647
2,50,2648.64394653817,3586.506299643741
2,51,2827.5312161827387,4158.325117809859
2,52,2439.2956161311176,4479.625697747828
2,53,2259.414568077962,4578.811887833344
2,54,2073.4438073246724,3977.4549366031415
2,55,2741.249571628147,3824.3541776825073
2,56,2579.9469202058863,4262.187247758041
2,57,2632.7106684541536,3505.591164109231
2,58,2276.860362650338,3924.6381293420504
2,59,2368.5392026826185,3993.555661999979
2,60,2430.455798747054,4582.662270961568
2,61,2646.8037318666234,4567.945383405979
2,62,2625.2831106422714,3922.4897471651443
2,63,2198.1706369542444,4442.907681062028
2,64,2478.102388885578,3645.55737545219
2,65,2396.498034471787,4020.396381972847
2,66,2318.8000729329774,4379.118239901559
2,67,2248.499025700511,3933.342972225596
2,68,2467.2287922939913,4220.702307821186
2,69,2261.595433288509,3978.208099674227
2,70,2627.6321535152706,4157.385732228219
2,71,2431.5209416231796,3693.3202574779834
2,72,2567.033304301995,4173.92929992221
2,73,2008.2197803054235,4218.0085523982025
2,74,2801.8384350306605,3670.0849012842723
2,75,2220.875655123071,4055.193190803375
2,76,2270.26327903609,4522.977416351153
2,77,2399.686505105285,3595.5993193307586
2,78,2448.2626978788567,3719.9740640994073
2,79,2455.406308598898,4209.838213734442
2,80,2457.3011043057586,4168.608145200703
2,81,2324.0422451649897,3912.839663237605
2,82,2517.7303032474997,4218.0773670170465
2,83,2565.731749092873,4401.854215235797
2,84,2550.9754466768723,3989.2782004706137
2,85,2770.702802747975,3844.439535941332
2,86,2194.5587676565956,4836.195434811655
2,87,2361.9252167702653,4197.480225886694
2,88,2244.5183683744895,4131.513922940098
2,89,2593.8979945622336,4278.540944943363
2,90,2298.899260258928,4152.212472303826
2,91,2392.144272014591,3515.325283835888
2,92,2319.567351071762,3095.0695351515396
2,93,2379.1957075519726,3744.106449507076
2,94,2129.5338211009894,4149.567116212647
2,95,2579.1591911692913,4222.824946552907
2,96,2261.3361919882527,3348.6344403875423
2,97,2472.4043727056664,3777.3415153991677
2,98,2441.4406519073427,4439.8128180471085
2,99,2363.351679923112,4054.9826371723225
2,100,2416.7211999901415,3722.776177045411
2,101,2485.712639729512,4436.244878356744
2,102,2411.717654070424,3917.6601425529375
2,103,1918.3726709229018,4173.062053381066
2,104,2468.199451235347,3933.82321107708
2,105,2672.989208467241,4335.838335690584
2,106,2186.105830307933,4214.592468393102
2,107,2334.8744892357845,4295.731804260811
2,108,2480.1326043422127,4181.209284951894
2,109,2500.1892331890117,4701.047024036122
2,110,2412.247159321796,3840.213003597767
2,111,2402.0990514301016,4262.176673991231
2,112,2649.999832420895,4277.99129509426
2,113,2144.411208659526,3683.1952667364894
2,114,2440.6893162529605,3867.575915989305
2,115,2539.6404893428366,4505.315080972869
2,116,2759.4687479342592,3600.9147885492894
2,117,2286.2280413540648,4095.777303544122
2,118,2154.396983722607,3961.8116045267916
2,119,2147.886307297102,4193.772620784959
2,120,2071.2769167242454,3929.226374854566
2,121,2661.037625618559,4465.848578110907
2,122,2543.187440781353,4498.893644680426
2,123,2378.1320490277362,4212.146367747546
2,124,2628.0720509225366,4132.174601405
2,125,2473.923005318726,3812.7113493558963
2,126,2057.11511211685,3736.852192627445
2,127,2468.0341591415377,3986.5866294854836
2,128,2240.18857591768,4032.8158898965034
2,129,2328.943281961441,4011.7792264940767
2,130,2704.0617459393607,4040.828879900718
2,131,2211.6700281798694,3820.2502821833264
2,132,2063.306229123628,3839.069437744678
2,133,2235.0437613854265,3851.406244257644
2,134,2637.8855828006494,4130.697497823556
2,135,2158.998436691657,4115.94026327301
2,136,2382.553422571058,3981.411271573587
2,137,2517.2503444358335,4629.071749771024
2,138,2419.4577887613877,5041.9852705438425
2,139,2412.944424649815,4708.004960743312
2,140,2391.0736160407782,4062.240871263084
2,141,2452.972704568895,4050.743582731
2,142,2594.556844168612,4698.465383988825
2,143,2405.8524113734647,3850.4898593938233
2,144,2246.803677979197,3742.395039828716
2,145,2653.4655202054,3787.5165052995007
2,146,2351.442935970354,4356.419865091527
2,147,2838.233799788389,4182.481852168905
2,148,2608.9936372778834,3982.52602631989
2,149,2411.864208828417,3510.6523373831888
2,150,2595.9590402743966,4148.664627932052
3,1,2910.8505988848983,4264.528574185655
3,2,3053.3615978632088,4245.025220114161
