# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=42
# chain_id=2
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LCC1_theta_logistic_4-14-20_2.csv
# diagnostic_file=stan_diagnostics/LCC1_theta_logistic_4-14-20_diagnostics_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,sigma.1,y0_hat.1,p_theta.1,p_theta.2,p_sigma.1,p_y0_hat.1,g_theta.1,g_theta.2,g_sigma.1,g_y0_hat.1
-11469.4,1,0.00390625,1,1,0,35141.4,-1.27209,-0.170169,-0.61291,1.93438,-1.82466,24.5222,216.192,-0.477764,104.195,-2574.02,-22881.6,-33.8897
-11469.4,0,14.3855,0,1,1,11471.1,-1.27209,-0.170169,-0.61291,1.93438,0.75599,-0.49256,-0.710098,-1.42597,104.195,-2574.02,-22881.6,-33.8897
-11469.4,0,2.43117,0,1,1,11469.6,-1.27209,-0.170169,-0.61291,1.93438,-0.292941,-0.167059,-0.223337,-0.42725,104.195,-2574.02,-22881.6,-33.8897
-11469.4,0,0.239791,0,1,1,11470.8,-1.27209,-0.170169,-0.61291,1.93438,-0.814877,0.145867,1.0167,0.971435,104.195,-2574.02,-22881.6,-33.8897
-11469.4,0,0.0186273,0,1,1,11473.2,-1.27209,-0.170169,-0.61291,1.93438,2.5747,-0.825579,0.168005,0.546349,104.195,-2574.02,-22881.6,-33.8897
-9905.5,1,0.00130482,2,3,0,11444.3,-1.27567,-0.15936,-0.540624,1.93446,1.49835,-7.21487,-54.9843,-0.0700577,90.4137,-2224.71,-19739.9,-29.6475
-7592.37,1,0.00189104,2,3,0,9840.27,-1.2721,-0.149261,-0.408124,1.9357,-0.799248,-6.25049,-66.7529,-0.377707,69.3143,-1705.09,-15088.2,-23.0204
-6685.92,1,0.00305706,1,1,0,7536.48,-1.27465,-0.146079,-0.344465,1.93706,0.929872,-3.33475,-41.0963,-0.476726,61.3497,-1500.76,-13262.9,-20.4415
-1996.18,1,0.00530085,2,3,0,6310.96,-1.29435,-0.0806604,0.268887,1.9411,2.0246,-10.117,-92.3196,-0.438432,19.182,-437.276,-3758.9,-6.98178
-731.072,1,0.00961161,4,15,0,1895.19,-1.29843,-0.00090372,0.839914,1.95136,-0.315136,6.3329,47.8298,0.574173,7.16993,-138.908,-1099.29,-3.0442
-576.13,1,0.0179176,1,1,0,708.487,-1.31031,0.0477118,1.00305,1.9319,0.71324,-3.60827,-15.8131,1.06297,5.58038,-99.9003,-748.807,-2.55874
-394.073,1,0.0339435,2,3,0,519.261,-1.33606,0.0730795,1.37155,1.89036,-0.818099,1.56457,15.6792,-1.19252,3.49866,-48.1519,-284.17,-1.84063
-325.245,0.982158,0.0648221,4,15,0,362.466,-1.2738,0.744453,1.64418,2.20245,0.0468576,-4.38406,7.30191,-1.37962,2.61045,-26.1547,-63.8636,-1.59522
-312.433,1,0.117335,2,3,0,321.151,-1.28244,1.17164,1.78067,1.98578,0.298989,-3.95305,1.07886,0.745558,2.16614,-19.0139,7.83003,-1.57274
-312.433,0.0019152,0.224315,1,3,1,312.614,-1.28244,1.17164,1.78067,1.98578,-0.538734,0.174337,0.189772,0.071771,2.16614,-19.0139,7.83003,-1.57274
-313.001,0.983989,0.0193796,3,7,0,313.553,-1.29793,1.17744,1.82668,1.98968,-0.440743,0.493726,0.804764,0.130502,2.09391,-17.412,23.0027,-1.53962
-306.437,0.805412,0.035645,3,7,0,317.841,-1.31743,1.59661,1.84375,2.05081,0.317814,-4.32632,-1.94167,-0.467985,1.8854,-15.9093,41.2616,-1.59409
-303.59,0.903924,0.0377828,2,7,0,311.239,-1.42257,1.7887,1.85134,2.06374,1.45294,-3.10262,1.87265,-0.232627,1.55175,-15.2075,48.9789,-1.66537
-293.822,0.994312,0.0540586,3,7,0,305.705,-1.57803,2.03433,1.66537,2.2035,1.5078,-3.25804,2.98861,-1.3952,1.20981,-20.7192,2.52851,-2.04878
-291.374,0.922126,0.101098,3,7,0,295.704,-1.50171,2.13638,1.64217,2.38975,0.682714,2.0926,-0.192991,1.94346,1.42937,-21.4288,-0.720694,-2.00305
-291.374,1.74076e-07,0.151104,1,1,0,292.72,-1.50171,2.13638,1.64217,2.38975,0.458293,-0.126477,-1.56731,-0.101747,1.42937,-21.4288,-0.720694,-2.00305
-286.894,0.996435,0.0146995,4,15,0,291.931,-1.5165,2.34564,1.59248,2.42105,-0.205042,3.13201,0.262277,0.390973,1.26311,-22.7708,-8.46096,-2.16087
-256.359,0.973833,0.0276272,5,31,0,290.123,-0.740906,3.70061,1.39511,2.5586,1.50896,7.95228,-1.2105,0.740441,3.04527,-26.7271,-7.73239,-2.22285
-202.817,0.959344,0.0481437,4,15,0,257.834,-1.39011,5.63157,1.08725,2.50292,1.20305,-10.289,1.48824,-0.712262,-6.3773,-29.2086,5.66752,-6.2442
-192.032,0.721875,0.0797529,2,3,0,204.618,-1.50664,6.01938,1.00436,2.4836,0.0910729,4.98783,0.0388648,0.532964,-10.7197,-30.0376,4.12304,-8.28697
-189.515,0.942001,0.0664851,2,3,0,194.163,-1.42911,6.12566,1.0363,2.35971,1.24109,2.62735,-0.823013,-0.419196,-9.90317,-27.4789,17.4607,-7.69869
-135.936,0.445494,0.103749,2,3,0,191.695,-1.08847,7.40971,0.607595,2.52248,3.43088,9.43889,-2.41313,2.1978,-15.591,-36.7509,14.0988,-11.8627
-128.883,0.985337,0.0398474,3,7,0,137.148,-0.926294,7.50771,0.539121,2.52666,-2.59828,-2.76543,1.36697,-0.513207,-13.5965,-39.1533,12.6838,-11.4962
-128.883,0.69644,0.0699585,2,3,0,131.681,-0.926294,7.50771,0.539121,2.52666,1.18102,0.137197,1.47525,-1.4168,-13.5965,-39.1533,12.6838,-11.4962
-128.727,0.996117,0.0547931,1,1,0,129.598,-0.913393,7.50449,0.532845,2.52938,-0.604086,-1.02745,0.434486,-0.364114,-13.4552,-39.6499,11.6783,-11.4777
-81.3775,0.739319,0.0979089,3,7,0,117.478,-0.806815,9.23066,-0.313646,3.24745,1.54188,6.20279,-1.86607,5.27895,3.76196,49.3108,-87.3098,-29.9702
-64.548,1,0.086268,1,1,0,74.1957,-0.796566,9.06513,0.00543885,3.32658,0.0760475,-2.44511,3.26972,1.61858,0.991479,12.2012,9.94676,-16.2582
-64.548,0.00467405,0.15372,1,3,0,66.6912,-0.796566,9.06513,0.00543885,3.32658,-0.447524,0.197969,-1.88717,0.696767,0.991479,12.2012,9.94676,-16.2582
-61.0696,0.992582,0.0189912,4,15,0,67.0359,-0.716809,8.79369,-0.179958,3.50865,0.709776,-1.96623,-0.665364,2.66835,-2.23167,-9.61349,-18.4715,-20.2479
