# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=123456
# chain_id=3
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LCC1_treatment_3.csv
# diagnostic_file=stan_diagnostics/LCC1_treatment_3.csv
# append_samples=0
#lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,sigma.1,y0_hat.1,p_theta.1,p_theta.2,p_sigma.1,p_y0_hat.1,g_theta.1,g_theta.2,g_sigma.1,g_y0_hat.1

-888.337,1,0.03125,1,1,0,902.568,0.00880011,-0.422533,1.63339,-1.35782,1.43279,-0.900878,5.02,-0.631159,8.40805,-47.5693,142.128,-1.66012
-888.337,0,14.3855,0,1,1,888.519,0.00880011,-0.422533,1.63339,-1.35782,0.199212,0.191008,0.0510886,-0.53413,8.40805,-47.5693,142.128,-1.66012
-888.337,0,2.43117,0,1,1,888.824,0.00880011,-0.422533,1.63339,-1.35782,0.233501,-0.320853,0.873335,-0.231607,8.40805,-47.5693,142.128,-1.66012
-888.337,0,0.239791,0,1,1,891.906,0.00880011,-0.422533,1.63339,-1.35782,-0.480877,1.15135,-2.25116,-0.717262,8.40805,-47.5693,142.128,-1.66012
-885.68,1,0.0186273,3,7,0,890.966,0.0140924,-0.389252,1.62578,-1.3274,0.205366,2.23466,-1.67881,1.64893,8.45531,-48.0962,136.414,-1.66377
-877.854,0.982113,0.0257257,3,7,0,887.837,0.048496,-0.347735,1.56692,-1.37255,-1.22584,-2.30472,3.18589,1.73258,8.66709,-53.7128,69.8098,-1.74565
-575.991,0.929415,0.038253,5,31,0,835.961,1.17854,10.205,0.362107,-0.959218,-13.7117,-4.39434,-16.5927,-6.1075,18.4889,651.245,-176.351,-6.37937
-332.593,1,0.0521812,2,3,0,503.997,1.17937,9.37334,0.616767,-0.888555,-0.509947,-18.4397,0.60189,1.47154,20.1515,95.9191,163.983,-4.49745
-254.022,0.333333,0.0929932,2,3,0,329.74,1.03442,8.96546,-0.0366735,-0.994829,0.0567347,11.9399,2.96428,0.292189,-32.3035,162.458,-87.3714,-18.2944
-178.708,1,0.0208264,3,7,0,258.005,1.10495,8.03477,-0.00857254,-1.01453,1.71095,-9.45461,-8.09997,0.817939,-30.9891,8.54033,117.282,-16.554
-143.525,1,0.0388655,2,3,0,180.127,1.2245,7.84968,-0.329282,-0.867362,-3.52061,2.05058,7.01016,-2.73143,-64.413,-15.3498,44.8134,-24.8538
-102.327,0.241585,0.073563,2,5,1,147.835,1.92179,7.99553,-0.783314,-0.935243,-6.41231,3.27666,6.22589,-0.63288,-27.1678,97.3389,-5.12112,-14.889
-98.4134,1,0.0128632,3,7,0,103.608,1.95669,7.95831,-0.749795,-0.886017,1.13555,-2.52929,0.627918,1.51919,-4.75093,65.3167,22.2762,-11.5642
-94.4483,1,0.0248001,3,7,0,98.6366,1.96622,7.89105,-0.762268,-0.826436,-0.197101,2.29865,0.94198,-1.47196,0.794809,22.1994,28.8417,-10.7757
-96.2758,0.651603,0.0478179,2,3,0,97.2537,2.04533,7.83874,-0.743672,-0.812364,0.800134,-0.78034,-0.713839,0.443998,35.7356,-13.1145,46.1218,-6.2618
-96.0373,0.998988,0.0312275,2,3,0,96.8425,2.03613,7.81733,-0.750626,-0.805125,-0.79093,-0.261964,-0.895832,0.336981,31.7805,-27.1223,43.1128,-6.73467
-94.3532,1,0.0599514,1,1,0,96.1971,2.04142,7.84924,-0.784045,-0.797377,-0.854677,0.693578,-1.53797,0.333066,31.456,-5.38517,32.7111,-6.79984
-94.3532,7.35477e-22,0.11469,1,1,0,94.6974,2.04142,7.84924,-0.784045,-0.797377,-0.518042,-0.231337,0.604639,0.0282891,31.456,-5.38517,32.7111,-6.79984
-92.4922,0.994836,0.0105121,3,11,0,95.7053,1.94653,7.8636,-0.861927,-0.774152,1.75629,-0.171568,1.6645,-0.735945,-20.1533,8.51312,-8.77884,-13.7698
-93.2017,0.943959,0.0199508,3,7,0,95.3772,1.93431,7.84632,-0.762641,-0.737226,1.64837,0.116025,0.340463,1.22657,-6.69751,-7.7983,28.1643,-11.8559
-91.8199,0.998511,0.0322521,2,3,0,93.5114,1.91726,7.85142,-0.835735,-0.692657,0.379331,0.253396,-1.37194,1.13694,-22.8638,-2.2719,-0.825258,-14.2569
-88.2069,0.221728,0.0608517,2,7,0,94.9231,1.87781,7.82702,-0.902894,-0.29993,1.80994,0.943242,-0.727249,-2.95601,-25.0603,-21.9747,-25.0774,-14.7342
-87.5478,0.982772,0.0116622,3,7,0,89.6417,1.88896,7.84529,-0.896319,-0.299201,-1.06775,-1.6004,-0.682638,-0.14286,-19.1204,-5.84049,-20.39,-13.7912
-63.4464,0.973605,0.0210114,5,39,0,89.4548,1.55252,7.85904,-0.928404,1.92297,1.89323,-0.854597,-0.854649,-6.85359,-0.00306132,7.34727,-26.8938,-11.1044
-62.3962,0.957295,0.0365244,2,3,0,63.9268,1.53343,7.85846,-0.906749,1.9731,0.220545,0.500193,-1.24482,-1.1013,0.351982,5.70759,-18.2342,-11.0439
-62.0598,0.545094,0.0600589,2,3,0,65.2176,1.48029,7.85561,-0.900231,2.00598,-1.1888,-0.124102,-1.97143,1.00029,-7.3999,2.6231,-19.688,-12.8859
-58.5593,0.999551,0.0304727,3,15,0,62.44,1.45376,7.86148,-0.810602,2.32802,-0.407374,0.0788685,-0.419174,2.72277,8.05691,3.67882,19.4019,-9.30325
-57.5205,0.977878,0.0560653,2,3,0,58.6947,1.37593,7.8616,-0.885223,2.39479,0.570282,-0.395798,0.525529,-1.26108,-6.18338,6.7253,-14.3647,-12.9421
-57.5205,1.58325e-05,0.09613,2,3,0,62.2624,1.37593,7.8616,-0.885223,2.39479,-0.438284,-0.408061,-2.21239,-2.05681,-6.18338,6.7253,-14.3647,-12.9421
-34.6461,0.977276,0.010973,6,127,0,59.1376,0.894685,7.82095,-0.856778,4.40109,-2.69333,-0.0325575,-0.874349,6.40027,9.85296,-29.3477,8.29968,-8.83286
-34.4123,0.987382,0.0188725,3,11,0,35.3429,0.876456,7.90752,-0.880829,4.46239,0.644807,-0.178525,0.333814,-1.14112,10.6813,43.4886,-4.86341,-8.80607
-33.6357,1,0.0330648,2,3,0,34.6941,0.864528,7.81047,-0.852309,4.52713,-0.674848,-0.705922,-0.133342,1.07022,10.6284,-37.667,10.4384,-8.53875
-33.6357,0.108823,0.0593822,1,1,0,35.7236,0.864528,7.81047,-0.852309,4.52713,0.371089,-2.00369,0.115445,0.0999304,10.6284,-37.667,10.4384,-8.53875
-29.6552,0.996078,0.00976524,6,63,0,35.7759,0.785549,7.86689,-0.901418,4.78201,-1.33983,-1.29196,1.82278,2.33551,11.2163,9.85778,-7.61342,-8.67056
-29.2769,0.999318,0.0173603,5,31,0,31.0796,0.579656,7.87512,-0.869998,4.68298,-1.56381,-0.246204,-0.198207,1.02957,2.2361,11.1202,-2.06467,-12.7905
-32.3657,0.869081,0.030839,4,15,0,33.2274,0.701277,7.86818,-0.751606,4.69803,-0.934529,0.544844,0.441403,-0.598657,9.63711,2.28375,43.4246,-8.71338
-31.2538,1,0.0386462,2,3,0,32.905,0.683653,7.84231,-0.77077,4.73442,0.626765,0.387881,1.22939,-1.117,8.83475,-14.5702,37.9601,-9.076
-28.4983,1,0.0677168,2,3,0,31.2139,0.531689,7.82777,-0.888612,4.77423,0.892484,-0.438425,-1.42042,-1.55718,0.921523,-28.8337,-8.2217,-13.5202
-28.4983,1.5172e-42,0.117618,1,1,0,30.5828,0.531689,7.82777,-0.888612,4.77423,1.06581,-0.742391,0.655292,1.43265,0.921523,-28.8337,-8.2217,-13.5202
5.59634,0.972327,0.0158321,6,127,0,30.4752,-0.762018,7.90079,-0.951976,7.15598,-4.54976,-0.273644,-0.742578,7.12856,14.0671,30.3543,-14.728,5.04482
7.32333,0.777441,0.0256991,4,22,1,-0.959622,-0.915382,7.90668,-0.954736,7.19961,3.37434,0.88529,-0.365854,-0.650898,15.1487,31.4383,-13.8349,8.28519
7.3058,0.962725,0.0253839,2,3,0,-6.44383,-0.909503,7.90477,-0.967487,7.17184,0.287901,1.0075,-0.248316,0.751226,15.6802,30.3226,-18.501,7.55995
23.3828,0.677682,0.0397894,3,14,1,-7.09014,-1.56774,7.89789,-1.01578,6.97102,5.27993,0.215904,0.987055,1.9201,30.821,-27.0643,-5.2282,10.8242
16.854,0.346882,0.0306009,2,3,0,-14.8376,-1.56033,7.81129,-1.04553,6.92269,0.136332,1.00391,0.575719,1.6355,24.739,-119.331,-25.9019,3.68677
23.9257,0.999111,0.0104787,3,7,0,-16.2578,-1.56567,7.95392,-0.977081,6.91733,-0.89298,3.56918,1.30745,-0.299917,34.6395,20.6564,9.21144,10.2927
21.269,0.904862,0.0178798,3,7,0,-19.5094,-1.55438,7.86278,-1.0709,6.84286,0.943382,-0.859484,0.67533,1.19766,31.7063,-73.3745,-27.3621,3.02448
28.3271,0.950865,0.0240947,3,7,0,-19.9091,-1.66709,7.94744,-0.99585,6.87206,2.75868,-2.80181,-1.15659,-0.194402,37.964,2.20601,11.4623,9.42895
26.6378,0.556197,0.036112,3,7,0,-24.2075,-1.74047,7.90112,-0.898984,6.90177,-2.03482,0.810018,-0.152129,0.201909,27.9649,-40.8314,46.5912,6.06489
26.5052,0.970605,0.0209607,2,3,0,-25.2142,-1.73991,7.88482,-0.915916,6.91591,0.544832,-0.74113,1.29968,-0.216507,27.2879,-53.1952,40.151,6.26234
137.356,0.878545,0.032759,3,15,0,-27.0121,-3.1031,8.24621,-1.52087,6.61271,-11.8998,6.08229,-5.76304,2.97939,-46.3815,-90.7406,30.9427,-238.348
166.23,1,0.040958,2,3,0,-147.948,-3.06293,8.29081,-1.57775,6.79656,-0.949539,-0.254201,-2.70974,5.31548,94.2525,65.5832,64.5075,-40.3682
166.23,2.55183e-32,0.0678403,1,3,1,-165.722,-3.06293,8.29081,-1.57775,6.79656,0.190495,-0.385612,-0.2077,0.886811,94.2525,65.5832,64.5075,-40.3682
194.391,0.999327,0.0109008,3,7,0,-164.542,-3.27308,8.23813,-1.6878,6.95601,4.96246,-2.06196,4.53994,-3.19523,60.5927,-83.5561,83.5813,3.05902
208.298,0.99399,0.0180571,4,15,0,-190.639,-3.40767,8.36161,-1.74728,6.93317,3.90963,-1.26412,4.11765,-1.21664,68.252,69.7683,86.5255,-50.6173
