# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=123456
# chain_id=2
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LCC9_treatment_2.csv
# diagnostic_file=stan_diagnostics/LCC9_treatment_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,sigma.1,y0_hat.1,p_theta.1,p_theta.2,p_sigma.1,p_y0_hat.1,g_theta.1,g_theta.2,g_sigma.1,g_y0_hat.1
-993.496,1,0.03125,1,1,0,1016.01,-0.308263,-1.42528,1.63107,-0.627896,-0.178038,2.43389,6.23401,0.462393,6.90074,-59.5342,-74.3435,-1.34961
-993.496,0,14.3855,0,1,1,997.003,-0.308263,-1.42528,1.63107,-0.627896,0.379247,-1.49044,-0.275562,-2.13803,6.90074,-59.5342,-74.3435,-1.34961
-993.496,0,2.43117,0,1,1,994.306,-0.308263,-1.42528,1.63107,-0.627896,-1.21546,0.211436,0.293963,0.100594,6.90074,-59.5342,-74.3435,-1.34961
-993.496,0,0.239791,0,1,1,994.974,-0.308263,-1.42528,1.63107,-0.627896,0.0465071,-0.218646,0.719741,1.54499,6.90074,-59.5342,-74.3435,-1.34961
-978.057,1,0.0186273,3,7,0,994.335,-0.211386,-1.15388,1.68313,-0.643852,0.460021,5.29454,-2.07561,-0.0699805,7.39776,-52.3398,34.2765,-1.33248
-961.292,0.971326,0.0257257,3,7,0,978.699,-0.335065,-0.870035,1.65195,-0.64181,-1.54895,5.66005,0.608271,0.094525,6.32829,-53.9379,19.1191,-1.50616
-883.596,0.906787,0.0370101,3,7,0,961.599,-0.533658,0.481194,1.52929,-0.680375,-1.42126,12.2972,-1.66226,0.0526457,3.06792,-58.3108,-2.37177,-2.69666
-867.912,0.948258,0.0470264,3,7,0,885.493,-0.37412,0.760436,1.51433,-0.71622,1.52344,5.69597,-0.574273,-0.25811,3.78431,-58.168,10.3402,-2.63644
-867.912,1.25564e-05,0.0711576,2,3,0,869.595,-0.37412,0.760436,1.51433,-0.71622,-0.139488,0.306954,1.54652,0.928029,3.78431,-58.168,10.3402,-2.63644
-864.077,0.999864,0.00555504,5,31,0,869.066,-0.306343,0.828405,1.50603,-0.692452,-1.25138,-2.8189,0.418446,-0.539501,4.31305,-58.7272,7.72108,-2.55119
-849.35,0.988416,0.0103432,4,15,0,866.475,-0.37086,1.08863,1.51176,-0.79401,0.742104,-5.76399,0.243122,0.645469,3.04049,-55.9021,43.5937,-2.91611
-844.662,0.999725,0.0189021,3,7,0,850.956,-0.276268,1.16045,1.46166,-0.806444,-1.56985,-2.94155,1.20496,0.136926,3.55581,-61.2616,-10.7589,-2.94533
-825.096,0.973105,0.0361298,3,7,0,845.083,-0.315589,1.48427,1.43931,-0.87574,0.515126,-6.19289,1.06634,0.467985,2.08878,-61.0358,-0.772366,-3.43802
-821.168,0.999698,0.0637331,1,1,0,825.746,-0.32006,1.55062,1.43402,-0.912507,0.125146,-2.98639,0.0950998,0.46326,1.72568,-61.049,0.378601,-3.56589
-821.168,0.265116,0.122135,2,3,0,822.269,-0.32006,1.55062,1.43402,-0.912507,0.508909,-1.38797,-0.13445,-0.00323016,1.72568,-61.049,0.378601,-3.56589
-755.211,0.861926,0.0239419,4,15,0,823.66,-0.534668,2.60061,1.30153,-0.655644,-0.97823,11.2695,-2.40256,1.77966,-5.32596,-66.7419,-29.4766,-6.03582
-726.499,0.996756,0.030204,3,7,0,757.115,-0.442441,3.01784,1.30849,-0.394711,0.993869,7.19359,-1.51991,2.48729,-3.82676,-61.8262,35.2527,-5.43382
-720.215,0.759065,0.0575031,2,3,0,727.305,-0.514072,3.10685,1.26859,-0.35826,-1.0743,3.43304,-0.760849,0.813143,-5.9609,-65.5708,2.32723,-6.23472
-704.632,0.871144,0.0528685,3,7,0,724.145,-0.342766,3.30873,1.24694,-0.129733,1.80315,5.40199,-0.773133,2.4485,-2.96122,-66.787,10.8466,-5.29961
-685.163,0.128488,0.068289,2,7,1,709.262,-0.349252,3.60369,1.19149,-0.258668,0.110012,6.71993,-0.486092,-1.67103,-6.0032,-70.3073,-9.5427,-6.35656
-683.585,0.999961,0.0096088,3,7,0,685.515,-0.341165,3.62613,1.20463,-0.264494,0.321005,1.91036,0.328518,-0.0314793,-5.65116,-68.248,7.37682,-6.2005
-671.531,0.993422,0.0183925,3,7,0,685.794,-0.466839,3.81708,1.17599,-0.290894,-1.39161,5.15005,-0.23958,-0.0948022,-9.99963,-68.9955,-0.144716,-7.62197
-649.633,0.664617,0.0341992,2,3,0,674.041,-0.425984,4.11149,1.13349,-0.177207,0.857238,6.14556,-2.85259,1.47511,-10.846,-70.9235,-0.0128145,-7.93374
-641.331,0.942628,0.0242162,4,15,0,652.059,-0.393897,4.23885,1.14699,-0.258656,-0.922846,-4.27634,0.298396,1.49261,-10.8227,-67.3153,30.2433,-7.80631
-627.507,0.975529,0.0384538,2,3,0,641.825,-0.355764,4.42332,1.07936,-0.305656,-0.982886,-5.17001,0.927173,0.285286,-13.4793,-73.9677,-8.66926,-8.76076
-627.043,0.757697,0.0665835,2,3,0,632.288,-0.365769,4.45243,1.11451,-0.438103,0.305114,2.71637,-0.353262,-1.70109,-13.6785,-68.4613,26.4681,-8.65344
-627.043,0.286166,0.061642,2,6,1,630.277,-0.365769,4.45243,1.11451,-0.438103,1.87836,1.47642,0.482198,0.725844,-13.6785,-68.4613,26.4681,-8.65344
-618.528,0.896867,0.0152007,3,7,0,631.377,-0.34135,4.57984,0.99463,-0.337268,-0.921525,-4.57467,0.25764,-1.96334,-17.8027,-84.3541,-70.0826,-10.311
-607.772,0.948547,0.0210298,2,3,0,620.751,-0.284453,4.68904,1.09286,-0.284201,-1.63563,-4.1203,-2.05421,-1.44449,-11.9811,-68.2449,43.6873,-8.14583
-606.617,0.857977,0.0333786,3,7,0,610.192,-0.230744,4.67981,1.06632,-0.244558,-1.7949,-0.9295,1.14881,-1.32103,-11.1348,-72.2634,21.1874,-7.98925
-580.53,0.964791,0.0410259,2,3,0,607.503,-0.203882,5.00089,0.992928,-0.149398,-0.85764,-7.03575,1.19064,-1.51364,-13.7055,-77.5494,4.06383,-8.89764
-416.993,0.287508,0.0671676,3,7,0,486.76,0.986847,9.91734,-0.478737,0.434668,7.06928,6.17297,5.79239,4.23105,-24.8674,611.585,-502.515,-26.2102
-219.886,1,0.0175955,2,3,0,401.57,1.00718,9.60296,-0.222296,0.491996,-0.830454,15.3599,-11.085,-1.968,-9.28991,245.616,-83.0354,-15.9877
-161.968,1,0.0316099,2,3,0,214.841,0.998389,9.22172,-0.103612,0.56733,-0.10184,10.0559,-1.39086,-1.637,-7.0896,69.8039,58.5194,-13.268
-155.938,0.92691,0.056249,3,7,0,161.987,0.96883,9.15631,-0.15708,0.534735,-0.101707,-2.74847,-2.12452,-0.139811,-15.0686,56.3744,41.7419,-15.6327
-144.425,0.551657,0.0818307,2,3,0,155.459,1.03736,8.8972,-0.205634,0.684719,1.41079,-2.76258,-2.54184,2.44646,-14.0117,-9.86946,47.6225,-14.9971
-130.716,1,0.0444598,3,7,0,145.461,1.46336,8.86666,-0.416498,1.6218,-1.10303,0.209408,2.0675,-4.89437,22.5073,-10.2542,5.36812,-6.77567
-130.716,0.238955,0.0778187,3,15,0,136.034,1.46336,8.86666,-0.416498,1.6218,1.24871,-1.86316,0.766609,-2.23972,22.5073,-10.2542,5.36812,-6.77567
-129.711,0.993072,0.0191189,3,7,0,131.258,1.40755,8.90339,-0.46205,1.62575,-1.54172,0.652034,-0.456338,0.286845,18.5494,4.26238,-18.4061,-8.01659
-129.748,0.997263,0.0327991,3,7,0,130.576,1.43062,8.85666,-0.43271,1.67317,-0.312152,-0.371497,0.698699,0.965702,20.7328,-14.3625,-2.44819,-7.2227
-130.384,0.949575,0.0563977,1,1,0,130.491,1.45603,8.85056,-0.421846,1.67462,0.180751,-0.351609,-0.0969765,-0.21632,22.3907,-16.3067,3.39254,-6.76177
-130.384,0.18642,0.085326,2,3,0,131.199,1.45603,8.85056,-0.421846,1.67462,0.15065,0.499073,-1.12504,0.301847,22.3907,-16.3067,3.39254,-6.76177
-128.102,0.973013,0.0191452,4,15,0,132.666,1.27735,8.81424,-0.406381,1.67823,2.65284,-1.38068,0.0241335,-0.42791,12.6391,-32.2165,2.31911,-9.11445
-128.351,0.992538,0.0307407,3,7,0,129.23,1.22838,8.99442,-0.421509,1.61465,1.08739,-0.424688,-0.62232,-0.0896858,9.77469,35.1147,-12.7558,-10.2555
