# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=12345
# chain_id=3
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LCC9_vehicle_3.csv
# diagnostic_file=stan_diagnostics/LCC9_vehicle_3.csv
# append_samples=0lp_lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,sigma.1,y0_hat.1,p_theta.1,p_theta.2,p_sigma.1,p_y0_hat.1,g_theta.1,g_theta.2,g_sigma.1,g_y0_hat.1
-11656.4,1,0.00390625,2,3,0,32490.3,0.901295,1.27486,-0.500306,-1.14069,-0.332525,26.2958,202.425,0.477743,-31.9412,-3042.25,-23021.2,-22.6711
-11656.4,0,14.3855,0,1,1,11657.3,0.901295,1.27486,-0.500306,-1.14069,0.446825,0.635946,-0.151266,-1.1092,-31.9412,-3042.25,-23021.2,-22.6711
-11656.4,0,2.43117,0,1,1,11657.3,0.901295,1.27486,-0.500306,-1.14069,-1.07653,-0.1026,-0.871238,0.0884311,-31.9412,-3042.25,-23021.2,-22.6711
-11656.4,0,0.239791,0,1,1,11659.2,0.901295,1.27486,-0.500306,-1.14069,-0.411126,-0.490843,2.19635,0.585178,-31.9412,-3042.25,-23021.2,-22.6711
-11656.4,0,0.0186273,0,1,1,11658,0.901295,1.27486,-0.500306,-1.14069,1.01096,0.00950037,0.827224,1.27585,-31.9412,-3042.25,-23021.2,-22.6711
-6694.14,1,0.00130482,3,7,0,11594.4,0.906894,1.31153,-0.222033,-1.13895,1.12044,12.9838,98.1348,0.378578,-8.50814,-1735.61,-12969.9,-13.4874
-5667.87,1,0.00189104,2,3,0,6676.09,0.90552,1.31729,-0.136516,-1.13354,0.353156,-4.47857,-44.6558,-1.45337,-3.5017,-1461.78,-10875.8,-11.5463
-5143.33,1,0.00305706,1,1,0,5642.89,0.903132,1.32509,-0.0867923,-1.13033,-0.779471,4.57452,31.2481,1.06525,-1.11696,-1322.06,-9802.08,-10.6081
-3990.94,1,0.00530085,1,1,0,5007.23,0.896503,1.34471,0.0451379,-1.13951,1.26108,-6.38523,-44.5791,1.70825,3.94571,-1012.85,-7429.23,-8.58386
-2159.81,1,0.00961161,1,1,0,3567.86,0.902301,1.38993,0.385594,-1.13516,-0.53791,-7.15545,-52.5774,-0.475331,13.5963,-510.024,-3569.86,-4.86703
-1035.14,1,0.0179176,1,1,0,1802.61,0.895448,1.47091,0.931631,-1.1487,0.560622,-6.04161,-38.6985,0.734159,19.8864,-169.878,-917.94,-2.37582
-832.786,1,0.0339435,2,3,0,948.636,0.932532,1.54596,1.46221,-1.17453,-0.699613,-3.21027,-14.8446,0.736023,23.1507,-58.876,46.3451,-1.46912
-832.786,0.597508,0.0648221,1,1,0,834.331,0.932532,1.54596,1.46221,-1.17453,0.404431,-0.749018,1.53011,0.154526,23.1507,-58.876,46.3451,-1.46912
-829.492,0.974732,0.03513,2,3,0,834.553,0.87124,1.57219,1.38841,-1.1518,1.6443,-2.68763,0.22672,-0.378255,21.324,-67.7827,-41.135,-1.6054
-753.423,0.991218,0.0624838,2,3,0,830.276,0.675772,2.67408,1.27155,-1.1814,-2.76683,12.0587,-0.798716,0.0269021,14.5995,-72.0304,-33.7062,-2.4685
-753.423,1.18291e-28,0.116673,1,2,1,754.432,0.675772,2.67408,1.27155,-1.1814,-0.549555,-0.851265,0.518626,-0.850378,14.5995,-72.0304,-33.7062,-2.4685
-756.434,1,0.0102643,3,7,0,757.273,0.68077,2.62408,1.29748,-1.17587,0.0671417,0.542605,-1.15364,-0.21642,15.0013,-69.0143,-10.6352,-2.36546
-731.9,0.95424,0.0198943,3,7,0,757.66,0.547432,2.9683,1.30168,-1.22607,1.97072,-6.88707,-0.255299,0.372333,11.3381,-64.4407,37.794,-2.78769
-689.023,0.745466,0.0333183,3,15,0,733.467,0.673788,3.58179,1.19416,-1.1555,-0.110079,-9.38676,0.489653,-0.723903,12.4578,-71.5493,9.94939,-3.03847
-678.102,0.985619,0.0296051,3,7,0,690.119,0.593448,3.71518,1.17143,-1.087,1.67517,-4.40106,0.537044,-1.25358,10.0433,-72.829,4.96635,-3.37289
-655.583,0.635598,0.0540129,3,7,0,679.882,0.491768,4.01419,1.10969,-1.18261,1.33796,-6.67732,1.3275,0.677272,5.38038,-77.2452,-15.8226,-4.29931
-659.591,0.680882,0.0347026,2,3,0,660.816,0.457382,3.98583,1.06282,-1.15282,-1.05424,0.659317,-0.134882,0.940636,3.6516,-85.1091,-70.0743,-4.73582
-655.552,1,0.0256743,2,3,0,660.558,0.416888,4.01263,1.09455,-1.13844,-1.61891,2.06393,1.65741,0.619988,3.24919,-79.4418,-32.8194,-4.68705
-651.263,0.833093,0.0483062,3,7,0,659.285,0.391097,4.06667,1.16299,-1.00875,-0.640371,2.7783,0.387191,2.78665,4.40783,-68.7153,42.6211,-4.21396
-615.295,0.319659,0.0556148,2,3,0,655.586,0.156423,4.56332,1.128,-0.929053,-1.96946,8.69156,-0.283004,1.03967,-3.15548,-65.6923,71.8416,-5.75786
-593.548,0.987358,0.0147373,3,7,0,616.734,0.222295,4.79741,1.01933,-0.888999,-1.02202,-5.74686,3.42326,-0.763633,-5.01529,-77.186,11.8309,-6.53264
-529.408,0.886097,0.0264884,3,7,0,596.699,0.507959,5.55198,0.911627,-0.733746,-1.90408,-11.1004,2.37369,-1.4501,-0.36536,-79.5401,47.8096,-5.92917
-209.837,0.699118,0.0354783,3,11,0,525.391,0.856511,8.43851,0.102631,-0.515248,2.89215,23.0464,-9.33195,2.12696,-31.1022,-68.3864,84.9993,-16.5748
-171.877,0.996502,0.0280959,3,7,0,210.322,0.952082,8.90478,-0.303335,-0.378575,4.25978,6.38693,-3.2816,2.68021,-69.5954,4.76609,-56.4287,-29.568
-162.18,1,0.0507852,2,3,0,172.391,1.07999,8.94417,-0.296135,-0.285013,3.69895,0.291726,0.853301,2.43455,-46.4848,19.0586,-28.0211,-23.3229
-155.014,0.400207,0.0917753,2,3,0,164.399,1.59535,8.81825,-0.496736,-0.281276,-3.86328,-1.21031,0.808748,-1.31363,-8.27172,-9.20153,-61.7145,-14.2072
-150.942,0.982015,0.03221,3,7,0,157.286,1.68084,8.81176,-0.464899,-0.0827056,1.64985,1.14317,2.32059,-1.80919,4.22686,-10.3889,-31.2173,-10.8837
-155.031,0.2795,0.0551231,2,3,0,156.78,1.70148,8.71576,-0.307476,-0.134465,0.656683,-1.74753,-0.106461,0.000695515,17.3017,-40.3759,37.2989,-8.13563
-151.569,0.99839,0.0143111,3,7,0,156.231,1.69263,8.74745,-0.38932,-0.0872477,-0.494338,1.53787,-2.24695,1.29101,11.2153,-33.4314,4.62552,-9.3606
-152.336,0.971125,0.0255198,3,7,0,153.757,1.65983,8.73441,-0.357415,-0.124671,-0.860693,1.43965,-0.104206,-0.130888,10.5498,-37.063,14.649,-9.54696
-152.739,0.950265,0.0419659,3,7,0,155.144,1.48568,8.954,-0.360387,-0.286376,-1.30376,-1.55153,0.838015,0.0287885,-2.52264,33.4306,-10.2573,-12.9886
-143.358,0.954116,0.0648376,4,15,0,154.933,1.49538,8.7483,-0.445809,0.613335,-1.43828,0.326145,-0.150677,4.57729,5.84717,-36.9117,-24.6846,-10.9514
-143.358,0.0025869,0.100482,2,3,0,147.992,1.49538,8.7483,-0.445809,0.613335,0.635095,2.09295,-1.07452,1.82447,5.84717,-36.9117,-24.6846,-10.9514
-140.986,0.999923,0.0134261,4,15,0,144.133,1.39035,8.88344,-0.315821,0.616658,1.46074,-1.90718,-0.440248,-0.57492,8.829,7.20133,25.7412,-10.0869
-128.604,0.998921,0.0235017,4,23,0,143.423,1.14216,8.83154,-0.335665,1.61638,0.593486,-0.96129,0.340614,-5.31466,4.32782,-10.3118,23.6398,-10.7074
-129.211,0.847507,0.0406826,2,3,0,131.119,1.03921,8.86643,-0.454224,1.63533,-0.200415,0.536308,1.49743,1.11639,-10.6154,3.09557,-37.911,-15.8458
-128.303,1,0.0477502,2,3,0,129.94,1.00113,8.85198,-0.376368,1.61778,-0.592935,-0.180572,1.69965,-0.0148587,-8.57301,-5.11284,-2.89686,-14.7763
-127.672,0.201029,0.0817562,3,7,0,131.564,1.34287,8.7848,-0.42467,1.97526,0.564999,0.252413,-1.11817,-2.47987,19.7347,-22.6763,-0.445177,-7.18203
-124.442,0.999332,0.0192299,5,31,0,129.8,0.746731,8.87938,-0.366716,2.03153,0.0770907,1.09337,-0.107986,3.08279,-14.5203,-0.109305,-4.23377,-17.7312
-112.466,0.985596,0.0328196,5,31,0,125.565,0.982879,8.79094,-0.426713,3.1615,-0.308779,-0.219376,0.011127,5.10424,17.254,-23.477,3.46883,-6.96378
-101.74,0.867352,0.0537473,3,7,0,114.977,0.605846,8.8611,-0.419841,3.72972,-3.80215,-1.40291,0.781407,3.07253,12.0679,-2.90842,7.96385,-8.98263
-95.8651,0.551903,0.0656307,3,7,0,104.675,0.417642,8.80546,-0.453889,4.19712,-2.55687,1.54938,-0.730005,2.85473,12.2167,-26.2093,-1.32533,-9.31509
-89.2163,0.739026,0.0374139,4,20,1,97.0194,0.0189669,8.91864,-0.401729,4.36254,-3.24796,-0.978293,0.424219,1.97987,9.59106,4.47197,21.9393,-12.9528
-85.2577,0.938392,0.0336026,3,7,0,90.8853,-0.172826,8.87637,-0.522421,4.53401,-1.87801,1.10676,0.654001,2.46488,7.84233,-16.4404,-26.1029,-18.4611
-70.0521,0.842805,0.0484971,3,7,0,86.8725,-0.493834,8.93029,-0.458732,5.16715,3.19558,0.189296,2.25911,-4.27664,19.268,-4.37989,22.7856,-13.5471
-69.9883,0.8286,0.0555905,2,3,0,70.9895,-0.48739,8.97485,-0.545695,5.17542,-0.577327,0.314107,-1.12499,0.5521,24.9409,17.5385,-15.8066,-14.508
-60.4066,0.952684,0.0615149,2,3,0,71.5448,-0.731285,8.89812,-0.512895,5.45468,-3.38037,0.7826,0.101394,3.19791,23.1442,-27.0751,14.8051,-14.919
-59.1686,0.219683,0.0907123,2,3,0,62.0313,-0.756355,8.95177,-0.466926,5.5212,-1.44409,0.870728,-1.09086,1.30072,25.7458,-6.15834,35.224,-12.509
