# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=12345
# chain_id=4
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LCC9_vehicle_4.csv
# diagnostic_file=stan_diagnostics/LCC9_vehicle_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,sigma.1,y0_hat.1,p_theta.1,p_theta.2,p_sigma.1,p_y0_hat.1,g_theta.1,g_theta.2,g_sigma.1,g_y0_hat.1
-2514.13,1,0.0078125,1,1,0,11864.2,0.879329,2.06546,0.193241,1.93799,-0.387279,20.9313,135.133,-0.877662,22.8355,-683.855,-4402.6,-1.93253
-2514.13,0,14.3855,0,1,1,2515.52,0.879329,2.06546,0.193241,1.93799,-0.187601,1.10543,-1.13579,0.48472,22.8355,-683.855,-4402.6,-1.93253
-2514.13,0,2.43117,0,1,1,2514.17,0.879329,2.06546,0.193241,1.93799,0.0861742,0.0763488,-0.187426,-0.181273,22.8355,-683.855,-4402.6,-1.93253
-2514.13,0,0.239791,0,1,1,2515.47,0.879329,2.06546,0.193241,1.93799,-1.12294,0.410573,-0.503009,-0.995323,22.8355,-683.855,-4402.6,-1.93253
-883.277,1,0.0186273,3,7,0,2046.35,0.878196,2.20593,0.974872,1.9323,-0.274507,8.85546,47.4086,-0.293139,22.9451,-141.078,-584.831,-1.31048
-792.973,1,0.0257257,2,3,0,862.091,0.836638,2.24836,1.20105,1.96089,1.89842,-2.8011,-11.2034,-1.12751,21.9993,-89.5519,-187.48,-1.25904
-773.725,1,0.0404064,2,3,0,786.657,0.855774,2.34694,1.31777,1.95301,-0.0202704,-3.85549,-3.31215,0.170121,22.4385,-70.0816,-20.9645,-1.2331
-773.725,0.0595729,0.0687243,2,3,0,776.325,0.855774,2.34694,1.31777,1.95301,-0.818494,-1.42598,1.54851,0.314434,22.4385,-70.0816,-20.9645,-1.2331
-774.131,0.996972,0.00639226,4,15,0,775.804,0.823328,2.33645,1.3042,1.97446,-1.26773,1.11073,0.406077,0.583115,21.6884,-72.0878,-38.6104,-1.24512
-759.319,0.993088,0.0114907,3,7,0,775.278,0.841025,2.55963,1.34441,1.96802,-0.673163,5.55161,0.802372,-0.0300604,22.0446,-64.3414,37.3125,-1.24867
-749.2,0.949426,0.0209626,2,3,0,760.101,0.790573,2.68702,1.32104,1.94474,-1.47344,4.02751,-1.81705,-0.330292,20.8338,-65.9944,28.2418,-1.2845
-719.886,0.941869,0.0338428,3,7,0,751.187,0.808224,3.0998,1.24568,2.08471,-0.913293,7.72128,-0.245395,1.4456,21.1009,-71.4772,2.67984,-1.34906
-667.38,0.662554,0.0538186,2,3,0,722.958,0.656998,3.76614,1.16442,2.34037,-2.51511,10.0636,-0.812753,1.70083,17.5845,-74.2297,14.1492,-1.57854
-668.553,0.704422,0.0357943,4,15,0,669.556,0.68826,3.76769,1.19105,2.34224,0.546546,1.30394,0.0218264,0.0796902,18.2623,-70.4487,40.345,-1.53569
-643.241,0.950887,0.0274042,4,15,0,669.696,0.667366,4.07961,1.08456,2.37805,1.18598,-7.1087,0.894004,-0.415,17.4934,-81.598,-17.3245,-1.70198
-478.845,0.825335,0.0453951,3,7,0,653.018,0.760405,5.9496,0.749206,2.10826,-1.14831,18.0617,-4.37447,-1.29081,15.8364,-98.3291,16.7025,-2.84036
