# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=user
# enable_random_init=1
# seed=42
# chain_id=1
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LV_treatment_1.csv
# diagnostic_file=stan_diagnostics/LV_treatment_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma.1,y0_hat.1,y0_hat.2,r_s,r_r,K_s,K_r,p_alpha,p_beta,p_sigma.1,p_y0_hat.1,p_y0_hat.2,p_r_s,p_r_r,p_K_s,p_K_r,g_alpha,g_beta,g_sigma.1,g_y0_hat.1,g_y0_hat.2,g_r_s,g_r_r,g_K_s,g_K_r
-313.973,1,0.0078125,4,31,0,3059.26,0.340599,0.0124651,-2.67163,7.64197,7.94738,-4.29663,-3.10024,8.66442,9.55348,30.7567,2.67474,46.8495,-38.9712,18.8147,-14.4037,0.442335,-15.2336,-5.4871,3287.03,-276.276,-1373.4,-881.289,-807.927,-144.26,528.267,-1992.98,563.675
-313.973,0,14.3855,0,1,1,316.284,0.340599,0.0124651,-2.67163,7.64197,7.94738,-4.29663,-3.10024,8.66442,9.55348,-0.816799,-0.669493,0.480856,-0.488333,0.670398,-0.109462,-1.05138,-0.0526461,-1.21129,3287.03,-276.276,-1373.4,-881.289,-807.927,-144.26,528.267,-1992.98,563.675
-313.973,0,2.43117,0,1,1,317.151,0.340599,0.0124651,-2.67163,7.64197,7.94738,-4.29663,-3.10024,8.66442,9.55348,0.0521004,-0.0349485,0.832736,0.220385,-1.37775,1.19217,-0.71469,-0.441945,-1.25864,3287.03,-276.276,-1373.4,-881.289,-807.927,-144.26,528.267,-1992.98,563.675
-313.973,0,0.239791,0,1,1,322.903,0.340599,0.0124651,-2.67163,7.64197,7.94738,-4.29663,-3.10024,8.66442,9.55348,1.00806,-1.56218,-0.754812,2.19353,-0.340914,0.0538898,2.18866,1.99743,-0.352132,3287.03,-276.276,-1373.4,-881.289,-807.927,-144.26,528.267,-1992.98,563.675
-313.973,0,0.0186273,0,1,1,322.247,0.340599,0.0124651,-2.67163,7.64197,7.94738,-4.29663,-3.10024,8.66442,9.55348,0.284481,-0.452206,1.9403,0.388113,-0.524366,-0.393317,-0.220708,-0.67126,3.37901,3287.03,-276.276,-1373.4,-881.289,-807.927,-144.26,528.267,-1992.98,563.675
-247.572,1,0.00130482,2,3,0,315.93,0.327618,0.0112698,-2.66849,7.64791,7.94732,-4.29763,-3.10197,8.67403,9.55268,8.85041,0.128358,-2.88334,-3.21145,-1.09301,0.181442,1.25269,-6.00991,0.9097,2806.19,-239.967,-1239.25,-632.67,-877.868,-161.454,410.918,-1676.9,403.897
-164.923,1,0.00189104,2,3,0,250.623,0.308762,0.017155,-2.65425,7.65715,7.95079,-4.29543,-3.10859,8.67949,9.5535,-9.57303,1.9533,5.90726,3.24427,2.63587,0.882751,-2.33111,4.15028,-0.366595,2204.07,-192.74,-1071.78,-307.824,-923.346,-158.833,250.836,-1287.79,236.61
-49.0856,1,0.00305706,2,3,0,167.625,0.274586,0.00409477,-2.62661,7.66598,7.96381,-4.28213,-3.10894,8.69909,9.55767,-10.5466,-1.61946,7.33971,1.46049,4.88749,2.59177,-0.61217,6.01998,-0.0432285,1267.68,-150.037,-836.649,166.405,-894.124,-121.266,127.318,-701.932,171.505
66.0251,1,0.00530085,2,3,0,45.0995,0.210788,0.0145105,-2.59089,7.65945,8.01053,-4.29247,-3.1194,8.73378,9.54847,8.04775,-1.47544,-6.88003,3.46755,-8.69501,0.796128,0.82549,-4.33972,-0.442313,8.95676,-77.0558,-583.599,673.833,-725.207,15.3146,-69.8796,1.93525,-347.481
120.94,1,0.00961161,2,3,0,-70.418,0.194906,0.0235732,-2.56748,7.62796,8.04864,-4.29934,-3.12881,8.73488,9.55206,-1.87546,1.36781,4.69059,-5.44161,6.37441,-0.697175,-0.677934,0.215448,1.55491,46.428,-88.4177,-469.161,450.493,-501.353,-3.5691,-62.8213,-21.1513,-245.796
