# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=user
# enable_random_init=1
# seed=12345
# chain_id=3
# iter=10000
# warmup=5000
# save_warmup=1
# thin=1
# refresh=1000
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# sample_file=stan_samples/LV_vehicle_3.csv
# diagnostic_file=stan_diagnostics/LV_vehicle_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma.1,y0_hat.1,y0_hat.2,r_s,r_r,K_s,K_r,p_alpha,p_beta,p_sigma.1,p_y0_hat.1,p_y0_hat.2,p_r_s,p_r_r,p_K_s,p_K_r,g_alpha,g_beta,g_sigma.1,g_y0_hat.1,g_y0_hat.2,g_r_s,g_r_r,g_K_s,g_K_r
405.711,1,0.0078125,2,3,0,443.905,-0.0301341,-0.0575093,-2.75818,7.74468,8.2457,-3.53716,-3.21151,9.51278,9.60885,16.1574,0.361695,-21.3289,27.8039,-6.90251,-2.1617,-1.40405,-11.6916,4.36797,-1042.78,-360.381,-211.272,254.305,191.833,563.443,226.642,681.152,669.02
405.711,0,14.3855,0,1,1,-402.651,-0.0301341,-0.0575093,-2.75818,7.74468,8.2457,-3.53716,-3.21151,9.51278,9.60885,0.00516404,1.6826,0.907878,0.726793,-0.0294327,-1.07653,-0.1026,-0.871238,0.0884311,-1042.78,-360.381,-211.272,254.305,191.833,563.443,226.642,681.152,669.02
405.711,0,2.43117,0,1,1,-400.911,-0.0301341,-0.0575093,-2.75818,7.74468,8.2457,-3.53716,-3.21151,9.51278,9.60885,1.13763,-0.232894,-0.30607,1.98495,1.42059,-0.71448,0.494146,-1.101,-0.483299,-1042.78,-360.381,-211.272,254.305,191.833,563.443,226.642,681.152,669.02
405.711,0,0.239791,0,1,1,-402.977,-0.0301341,-0.0575093,-2.75818,7.74468,8.2457,-3.53716,-3.21151,9.51278,9.60885,-0.164512,0.776589,-0.361023,0.199947,-1.61256,-0.76575,0.326954,-0.885714,-0.767272,-1042.78,-360.381,-211.272,254.305,191.833,563.443,226.642,681.152,669.02
405.711,0,0.0186273,0,1,1,-401.534,-0.0301341,-0.0575093,-2.75818,7.74468,8.2457,-3.53716,-3.21151,9.51278,9.60885,-0.136078,-0.14162,-0.475442,0.611744,0.251136,-2.22876,-0.863254,-1.1556,0.777054,-1042.78,-360.381,-211.272,254.305,191.833,563.443,226.642,681.152,669.02
432.957,1,0.00130482,6,63,0,-399.163,-0.0347442,-0.0534595,-2.65916,7.79472,8.23221,-3.57275,-3.2398,9.49932,9.56601,-2.90908,-2.58907,5.49877,2.65145,0.141378,2.43747,0.203846,0.966775,2.86669,-604.362,157.125,-117.399,421.844,-62.7161,305.026,-79.8935,406.567,-253.619
446.678,1,0.00189104,5,31,0,-428.313,-0.0133035,-0.0645802,-2.60746,7.75089,8.22633,-3.57955,-3.2368,9.53041,9.59904,-2.06586,0.560383,2.95653,0.137979,0.594125,3.94829,-0.198063,2.34074,-1.38855,-263.377,-129.661,-61.9569,21.6695,-19.8206,36.3843,58.5057,214.784,287.609
455.216,0.9993,0.00305706,4,15,0,-445.08,-0.00743624,-0.0467012,-2.58261,7.76887,8.23199,-3.55309,-3.22271,9.47853,9.56676,0.921972,0.309876,-1.59016,-1.288,-0.91885,-3.2944,-0.9529,1.57882,-0.198441,-15.1259,137.312,-39.5586,64.2657,-36.4916,-73.5325,-39.1108,10.932,-230.355
456.208,0.964977,0.0052892,5,31,0,-452.006,0.00145281,-0.0884102,-2.56049,7.72372,8.23841,-3.47065,-3.27879,9.44397,9.55613,0.473904,-1.04339,1.31217,-0.880574,0.319107,2.06866,-0.247462,-0.211165,0.327468,-58.1304,122.259,-27.5674,-87.876,-61.6122,41.0338,-116.644,7.59093,-243.33
457.836,0.713377,0.00858623,3,7,0,-450.453,0.0133265,-0.0946557,-2.56514,7.73646,8.25619,-3.47664,-3.25735,9.43522,9.56833,0.482908,-0.553604,-0.427548,1.88954,1.67181,-0.28958,2.42927,-0.26996,1.27313,209.631,-40.4781,-26.6782,-94.5489,93.0104,-94.9339,15.9119,-174.608,34.3622
460.518,0.825996,0.00646521,4,15,0,-454.922,0.0286854,-0.0371758,-2.47969,7.76374,8.23022,-3.50214,-3.22683,9.48949,9.58979,2.06141,0.738703,1.55369,0.0954532,0.696922,-1.47675,0.821446,-0.00325057,-0.795212,-13.811,28.3826,13.001,67.7422,-16.2103,1.5962,9.96606,13.6642,16.9762
460.347,0.937434,0.00707722,4,23,0,-458.243,0.0419422,-0.0978261,-2.49697,7.73447,8.2484,-3.4864,-3.25272,9.51624,9.56295,0.652041,-0.688374,-0.544003,0.379465,-0.222122,1.02624,-0.655294,-1.0427,-0.498067,-86.1422,-21.8357,5.11522,-32.8905,49.4784,44.3005,7.91115,88.4061,-13.5987
458.692,0.341439,0.0111509,4,15,0,-453.016,0.0100921,-0.117337,-2.48597,7.74361,8.24706,-3.49556,-3.29629,9.47364,9.55334,0.333784,0.862331,0.108531,-1.38056,-0.126798,0.184184,2.50015,-1.09035,-1.04329,-90.0621,35.3778,8.48998,3.06746,-9.81826,37.9396,-84.1376,49.9784,-130.745
457.322,0.999319,0.00272881,4,15,0,-456.185,0.0121755,-0.133125,-2.4813,7.74317,8.25544,-3.51269,-3.31135,9.47172,9.56909,-0.139216,-0.690459,0.210105,0.362321,0.299473,-0.612458,-0.457182,0.153569,0.951907,67.7661,-72.8963,8.19569,-57.7351,44.554,-79.5868,-36.7001,-56.4579,78.4176
457.677,0.994266,0.00531434,5,31,0,-454.396,0.0433208,-0.00922185,-2.50365,7.7427,8.24317,-3.44977,-3.20719,9.46795,9.59754,1.06496,0.421536,-1.06683,0.267602,0.306736,0.314435,-1.81353,0.18671,-0.724884,80.2934,44.5773,5.30951,-6.05629,56.4293,27.3497,48.5189,-69.3648,24.621
457.568,0.67638,0.0101743,4,15,0,-455.169,0.0234192,-0.120807,-2.55572,7.76209,8.24749,-3.52862,-3.2673,9.5075,9.54334,0.509658,-1.77976,0.200863,-0.276517,0.379689,0.238316,0.385463,-0.869949,-0.383561,-35.1098,27.1206,-23.5878,50.663,20.7617,-32.6267,-41.7999,46.2144,-153.256
454.524,0.846164,0.00729529,4,15,0,-450.114,0.0414527,-0.115371,-2.50144,7.70687,8.26936,-3.44074,-3.28902,9.48721,9.55707,-0.182567,-1.02616,-1.2903,0.0802559,-0.881283,-0.292027,-1.64875,0.29735,-1.54688,-73.1807,-10.4764,-1.37749,-127.364,107.68,91.5642,-31.1545,52.3151,-52.2252
453.518,0.910202,0.00886113,3,7,0,-450.732,0.0424592,-0.119364,-2.51517,7.70117,8.26788,-3.45236,-3.3008,9.48674,9.57097,-0.376434,-0.429252,0.676557,-1.28305,1.20802,1.11728,0.595389,0.275837,-0.0673631,52.5045,-72.3614,-11.4329,-203.458,111.439,-5.56812,-13.6526,-34.1139,86.7046
456.473,0.484362,0.013068,2,3,0,-452.372,0.0433997,-0.111125,-2.50811,7.722,8.2692,-3.45084,-3.28965,9.48035,9.5751,0.163312,-1.2068,-0.562552,-2.20791,0.750838,0.0661168,-0.784622,0.292827,0.508,36.0089,-88.2052,-3.34497,-93.999,130.395,27.9288,10.5177,-30.0284,126.161
460.248,0.937771,0.00533668,4,31,0,-451.739,0.0264981,-0.0717771,-2.50117,7.74281,8.20731,-3.48713,-3.21809,9.4775,9.57519,-0.999683,0.573899,0.201548,2.71754,-0.398682,-0.783648,2.41149,0.35397,1.2451,30.5055,-15.918,3.17178,-26.8141,-101.416,-15.563,21.4083,-25.8667,24.5103
455.666,0.747314,0.00856178,4,15,0,-450.282,-0.0317508,-0.107116,-2.4845,7.7505,8.25507,-3.50082,-3.22094,9.4058,9.5406,1.17381,0.709291,-0.167647,0.268391,1.62575,0.399215,1.78133,0.804945,-1.47115,-59.8393,-1.27103,13.8122,27.1052,98.6575,21.451,49.7928,-22.1569,-120.958
458.014,1,0.00777246,3,7,0,-454.221,-0.0318192,-0.10643,-2.46638,7.75727,8.22668,-3.51431,-3.23649,9.4098,9.558,-0.0146043,-0.994786,-0.299079,0.339622,1.7492,0.133542,1.41612,-1.06927,-0.404713,-25.3899,-37.8974,20.1066,35.0674,-25.4519,-12.8351,19.1432,-41.8305,-9.55806
